incident_id,asset_id,incident_date,severity,downtime_hours,incident_type
INC-000101,AST-00048,2025-06-05,Low,2.4,Electrical fault
INC-000102,AST-00048,2024-03-11,Low,1.9,Electrical fault
INC-000103,AST-00048,2024-09-01,Medium,3.5,Overheating
INC-000104,AST-00049,2025-03-30,Medium,1.4,Protection trip
INC-000105,AST-00049,2026-01-11,High,6.8,Overheating
INC-000106,AST-00049,2026-03-25,Low,1.4,Overheating
INC-000107,AST-00049,2024-11-11,Low,2.2,Electrical fault
INC-000108,AST-00050,2024-05-10,Medium,0.5,Inspection finding
INC-000109,AST-00050,2026-05-16,Low,1.9,Overheating
INC-000110,AST-00050,2025-03-29,High,1.3,Overheating
INC-000111,AST-00050,2026-03-26,Low,4.8,Inspection finding
INC-000112,AST-00050,2025-01-17,High,5.6,Inspection finding
INC-000113,AST-00051,2024-05-21,Medium,1.5,Overheating
INC-000114,AST-00052,2025-04-13,Low,3.4,Inspection finding
INC-000115,AST-00052,2024-05-03,Medium,2.2,Electrical fault
INC-000116,AST-00052,2026-04-01,Medium,2.8,Protection trip
INC-000117,AST-00052,2024-03-15,High,2.4,Overheating
INC-000118,AST-00053,2025-12-03,Medium,2.6,Physical damage
INC-000119,AST-00053,2025-10-05,Medium,0.6,Inspection finding
INC-000120,AST-00054,2025-06-26,Low,0.4,Electrical fault
INC-000121,AST-00054,2025-11-22,Critical,22.8,Inspection finding
INC-000122,AST-00055,2024-08-25,High,3.7,Physical damage
INC-000123,AST-00055,2025-02-20,Medium,0.6,Physical damage
INC-000124,AST-00056,2025-12-20,High,8.1,Electrical fault
INC-000125,AST-00056,2025-12-23,Low,1.2,Inspection finding
INC-000126,AST-00056,2024-01-28,Low,1.4,Protection trip
INC-000127,AST-00057,2026-08-24,Low,3.3,Physical damage
INC-000128,AST-00057,2024-11-06,Low,0.7,Physical damage
INC-000129,AST-00058,2025-06-28,Low,0.7,Electrical fault
INC-000130,AST-00058,2024-01-08,Low,1.4,Physical damage
INC-000131,AST-00058,2025-05-20,Low,3.2,Overheating
INC-000132,AST-00058,2024-04-20,High,5.9,Physical damage
INC-000133,AST-00058,2026-06-06,Low,1.6,Inspection finding
INC-000134,AST-00058,2026-06-01,Medium,1.6,Electrical fault
INC-000135,AST-00059,2024-07-15,Low,0.7,Electrical fault
INC-000136,AST-00060,2026-01-10,Low,0.5,Overheating
INC-000137,AST-00060,2024-01-23,Low,1.0,Electrical fault
INC-000138,AST-00061,2025-12-26,High,6.8,Overheating
INC-000139,AST-00061,2024-06-10,Low,3.7,Physical damage
INC-000140,AST-00061,2026-02-01,Medium,1.3,Physical damage
INC-000141,AST-00061,2026-01-11,Low,0.8,Inspection finding
INC-000142,AST-00062,2025-08-24,Medium,3.7,Inspection finding
INC-000143,AST-00064,2026-01-02,High,8.5,Protection trip
INC-000144,AST-00064,2024-01-19,Medium,2.5,Overheating
INC-000145,AST-00064,2024-03-27,Low,1.5,Protection trip
INC-000146,AST-00064,2026-01-24,High,12.4,Inspection finding
INC-000147,AST-00064,2025-05-30,Medium,0.7,Protection trip
INC-000148,AST-00065,2024-04-15,Medium,2.6,Physical damage
INC-000149,AST-00066,2025-02-17,Medium,5.6,Protection trip
INC-000150,AST-00066,2025-02-28,Medium,2.9,Physical damage
INC-000151,AST-00066,2025-04-10,Low,3.0,Inspection finding
INC-000152,AST-00067,2025-12-18,Low,1.3,Inspection finding
INC-000153,AST-00067,2025-07-20,Medium,1.9,Inspection finding
INC-000154,AST-00067,2024-02-17,Low,0.4,Inspection finding
INC-000155,AST-00067,2024-03-18,Medium,3.2,Electrical fault
INC-000156,AST-00068,2024-06-10,High,9.8,Physical damage
INC-000157,AST-00069,2025-10-06,Medium,2.1,Inspection finding
INC-000158,AST-00069,2025-07-24,Low,0.8,Electrical fault
INC-000159,AST-00072,2026-07-10,Low,1.0,Electrical fault
INC-000160,AST-00072,2026-06-22,Low,2.0,Electrical fault
INC-000161,AST-00072,2026-08-28,Medium,1.0,Physical damage
INC-000162,AST-00073,2026-07-04,Low,2.4,Overheating
INC-000163,AST-00074,2024-03-24,Medium,5.1,Physical damage
INC-000164,AST-00075,2025-03-30,High,10.1,Electrical fault
INC-000165,AST-00075,2025-10-31,Low,3.5,Protection trip
INC-000166,AST-00075,2025-06-08,Low,3.7,Physical damage
INC-000167,AST-00075,2025-08-23,High,4.7,Overheating
INC-000168,AST-00076,2026-02-23,Low,1.4,Protection trip
INC-000169,AST-00077,2026-06-09,Medium,3.4,Protection trip
INC-000170,AST-00077,2026-06-22,Low,1.6,Electrical fault
INC-000171,AST-00077,2025-03-26,High,4.6,Protection trip
INC-000172,AST-00080,2024-07-21,Low,4.0,Electrical fault
INC-000173,AST-00080,2024-08-07,Low,1.1,Overheating
INC-000174,AST-00081,2024-01-20,High,5.3,Protection trip
INC-000175,AST-00081,2024-05-12,Medium,5.2,Protection trip
INC-000176,AST-00081,2024-09-19,High,7.0,Overheating
INC-000177,AST-00081,2026-04-18,High,2.9,Protection trip
INC-000178,AST-00083,2024-02-11,Medium,1.4,Physical damage
INC-000179,AST-00083,2026-07-13,Medium,2.5,Physical damage
INC-000180,AST-00084,2026-03-21,Low,0.4,Overheating
INC-000181,AST-00084,2026-08-30,Low,1.7,Inspection finding
INC-000182,AST-00085,2024-06-17,High,1.5,Overheating
INC-000183,AST-00086,2024-05-14,High,3.5,Inspection finding
INC-000184,AST-00087,2026-02-17,Low,1.1,Inspection finding
INC-000185,AST-00087,2024-04-06,Low,1.4,Physical damage
INC-000186,AST-00087,2025-01-16,Low,2.3,Physical damage
INC-000187,AST-00087,2026-04-18,Critical,9.6,Inspection finding
INC-000188,AST-00088,2025-08-19,Low,1.3,Physical damage
INC-000189,AST-00088,2025-02-08,Low,2.4,Inspection finding
INC-000190,AST-00089,2025-03-05,Critical,9.1,Electrical fault
INC-000191,AST-00090,2024-10-23,Medium,1.7,Overheating
INC-000192,AST-00090,2025-04-27,Medium,1.0,Protection trip
INC-000193,AST-00091,2024-09-15,Low,0.5,Overheating
INC-000194,AST-00092,2025-10-15,Medium,2.9,Electrical fault
INC-000195,AST-00093,2024-09-16,Low,2.3,Overheating
INC-000196,AST-00093,2024-01-03,High,6.5,Overheating
INC-000197,AST-00093,2026-04-30,Critical,7.6,Inspection finding
INC-000198,AST-00096,2026-08-22,High,13.5,Inspection finding
INC-000199,AST-00096,2024-03-24,High,3.8,Inspection finding
INC-000200,AST-00096,2024-03-22,Low,0.8,Protection trip
INC-000201,AST-00097,2026-07-29,Low,2.7,Overheating
INC-000202,AST-00097,2024-11-03,Medium,4.7,Inspection finding
INC-000203,AST-00097,2024-09-30,Medium,2.4,Overheating
INC-000204,AST-00097,2026-07-17,Low,1.7,Physical damage
INC-000205,AST-00098,2026-04-07,Medium,3.8,Protection trip
INC-000206,AST-00098,2025-12-12,Medium,1.1,Electrical fault
INC-000207,AST-00099,2024-03-09,Critical,13.5,Physical damage
INC-000208,AST-00099,2025-06-05,Low,1.2,Inspection finding
INC-000209,AST-00099,2026-04-26,Medium,1.1,Inspection finding
INC-000210,AST-00099,2026-05-28,Low,0.7,Inspection finding
INC-000211,AST-00100,2025-03-14,Medium,1.8,Overheating
INC-000212,AST-00101,2026-07-29,Low,0.8,Electrical fault
INC-000213,AST-00101,2024-09-09,Medium,1.4,Protection trip
INC-000214,AST-00101,2025-08-04,Medium,1.5,Protection trip
INC-000215,AST-00102,2025-12-02,High,4.4,Protection trip
INC-000216,AST-00102,2024-06-16,Low,1.3,Protection trip
INC-000217,AST-00102,2024-04-24,Medium,2.9,Inspection finding
INC-000218,AST-00103,2026-01-26,Medium,2.9,Protection trip
INC-000219,AST-00103,2024-09-28,Medium,1.4,Inspection finding
INC-000220,AST-00105,2025-02-27,Medium,4.1,Protection trip
INC-000221,AST-00105,2024-02-20,Low,0.7,Physical damage
INC-000222,AST-00105,2025-03-06,Medium,2.5,Overheating
INC-000223,AST-00105,2026-03-07,Medium,2.0,Physical damage
INC-000224,AST-00105,2025-02-15,Low,1.8,Physical damage
INC-000225,AST-00105,2025-07-07,Medium,2.6,Protection trip
INC-000226,AST-00105,2025-05-11,Medium,8.0,Physical damage
INC-000227,AST-00105,2025-09-08,Medium,2.6,Electrical fault
INC-000228,AST-00105,2025-05-03,Medium,3.1,Overheating
INC-000229,AST-00106,2024-12-15,High,6.0,Overheating
INC-000230,AST-00106,2026-06-08,Medium,3.0,Electrical fault
INC-000231,AST-00106,2026-05-22,Low,0.8,Electrical fault
INC-000232,AST-00106,2025-06-02,Low,0.7,Overheating
INC-000233,AST-00107,2026-08-28,High,3.8,Inspection finding
INC-000234,AST-00107,2025-02-03,Low,1.9,Inspection finding
INC-000235,AST-00107,2024-03-01,Low,0.7,Inspection finding
INC-000236,AST-00107,2024-06-10,High,1.5,Physical damage
INC-000237,AST-00108,2025-08-14,Low,1.1,Electrical fault
INC-000238,AST-00109,2025-04-30,High,3.5,Inspection finding
INC-000239,AST-00111,2026-05-18,Medium,1.5,Electrical fault
INC-000240,AST-00111,2025-10-23,Low,0.4,Protection trip
INC-000241,AST-00111,2026-06-15,Low,3.3,Electrical fault
INC-000242,AST-00112,2025-03-30,Medium,1.5,Electrical fault
INC-000243,AST-00112,2024-12-04,Low,1.5,Protection trip
INC-000244,AST-00113,2024-10-03,High,22.9,Physical damage
INC-000245,AST-00113,2025-01-27,High,5.7,Electrical fault
INC-000246,AST-00113,2026-04-23,Low,1.2,Protection trip
INC-000247,AST-00113,2025-12-24,High,2.6,Inspection finding
INC-000248,AST-00114,2024-12-05,Medium,5.0,Protection trip
INC-000249,AST-00114,2024-08-20,Medium,8.8,Electrical fault
INC-000250,AST-00114,2025-04-27,Medium,0.7,Inspection finding
INC-000251,AST-00114,2024-12-15,Low,1.3,Inspection finding
INC-000252,AST-00114,2026-05-30,Critical,1.5,Electrical fault
INC-000253,AST-00115,2024-09-24,Low,0.7,Protection trip
INC-000254,AST-00115,2024-03-25,Medium,2.5,Electrical fault
INC-000255,AST-00115,2026-03-16,Low,0.7,Electrical fault
INC-000256,AST-00115,2025-03-21,High,8.1,Overheating
INC-000257,AST-00115,2024-10-27,Medium,2.2,Inspection finding
INC-000258,AST-00115,2025-08-10,Low,0.4,Electrical fault
INC-000259,AST-00117,2025-04-04,Low,3.6,Physical damage
INC-000260,AST-00117,2025-12-28,Critical,9.3,Physical damage
INC-000261,AST-00117,2026-08-17,Medium,2.0,Electrical fault
INC-000262,AST-00117,2026-04-09,High,1.5,Electrical fault
INC-000263,AST-00118,2025-07-27,Medium,3.6,Electrical fault
INC-000264,AST-00118,2025-12-30,High,6.5,Overheating
INC-000265,AST-00118,2024-08-08,Medium,2.9,Inspection finding
INC-000266,AST-00118,2024-07-20,High,3.0,Electrical fault
INC-000267,AST-00119,2024-01-27,Medium,2.6,Physical damage
INC-000268,AST-00119,2024-03-17,Low,1.4,Inspection finding
INC-000269,AST-00119,2026-05-15,Medium,2.1,Inspection finding
INC-000270,AST-00119,2025-09-16,Medium,7.0,Physical damage
INC-000271,AST-00119,2025-03-27,Low,0.6,Overheating
INC-000272,AST-00120,2025-09-12,High,0.8,Overheating
INC-000273,AST-00120,2024-05-05,Low,0.9,Electrical fault
INC-000274,AST-00120,2024-06-07,Low,0.4,Protection trip
INC-000275,AST-00120,2024-05-07,High,0.9,Overheating
INC-000276,AST-00120,2024-06-20,Medium,3.2,Overheating
INC-000277,AST-00120,2024-08-27,High,3.7,Overheating
INC-000278,AST-00121,2026-02-04,Low,0.4,Inspection finding
INC-000279,AST-00121,2025-12-02,Low,0.4,Overheating
INC-000280,AST-00122,2025-09-02,High,7.1,Inspection finding
INC-000281,AST-00122,2024-09-21,Low,1.4,Physical damage
INC-000282,AST-00122,2024-06-05,Medium,9.2,Protection trip
INC-000283,AST-00122,2024-05-03,Low,3.1,Inspection finding
INC-000284,AST-00123,2024-06-22,Low,1.4,Physical damage
INC-000285,AST-00123,2026-07-16,Medium,1.1,Electrical fault
INC-000286,AST-00123,2024-08-16,High,12.2,Physical damage
INC-000287,AST-00123,2024-10-30,Critical,5.2,Inspection finding
INC-000288,AST-00123,2025-08-27,Medium,4.3,Overheating
INC-000289,AST-00123,2024-05-18,Low,2.6,Overheating
INC-000290,AST-00123,2024-02-20,Low,1.2,Overheating
INC-000291,AST-00125,2025-06-01,High,0.9,Physical damage
INC-000292,AST-00125,2024-07-08,Low,3.2,Protection trip
INC-000293,AST-00125,2025-01-27,Medium,3.2,Electrical fault
INC-000294,AST-00125,2026-04-22,High,3.8,Physical damage
INC-000295,AST-00126,2024-12-11,Low,2.1,Electrical fault
INC-000296,AST-00126,2026-04-02,Low,1.6,Overheating
INC-000297,AST-00127,2025-08-06,High,2.8,Inspection finding
INC-000298,AST-00128,2025-04-21,Low,1.4,Physical damage
INC-000299,AST-00128,2024-04-15,High,2.1,Physical damage
INC-000300,AST-00128,2026-06-08,Low,1.7,Electrical fault
INC-000301,AST-00130,2025-12-06,Low,0.8,Electrical fault
INC-000302,AST-00131,2024-11-17,Low,0.8,Electrical fault
INC-000303,AST-00131,2024-09-17,Medium,2.4,Overheating
INC-000304,AST-00131,2024-07-04,Critical,4.1,Physical damage
INC-000305,AST-00131,2024-12-17,Medium,2.0,Inspection finding
INC-000306,AST-00131,2025-08-13,Medium,1.0,Protection trip
INC-000307,AST-00132,2025-05-09,Medium,1.4,Inspection finding
INC-000308,AST-00132,2025-07-15,Low,1.4,Physical damage
INC-000309,AST-00132,2025-10-06,Medium,1.3,Physical damage
INC-000310,AST-00133,2024-08-12,Low,1.4,Overheating
INC-000311,AST-00133,2025-09-30,High,16.8,Protection trip
INC-000312,AST-00133,2025-03-31,Medium,3.4,Electrical fault
INC-000313,AST-00133,2025-01-07,Medium,3.5,Protection trip
INC-000314,AST-00133,2024-04-29,Medium,1.9,Physical damage
INC-000315,AST-00134,2024-01-31,Medium,3.5,Electrical fault
INC-000316,AST-00135,2024-08-11,Low,1.1,Electrical fault
INC-000317,AST-00135,2025-01-24,Critical,5.9,Overheating
INC-000318,AST-00135,2026-03-02,Low,8.0,Inspection finding
INC-000319,AST-00135,2025-02-08,Low,0.9,Inspection finding
INC-000320,AST-00135,2025-07-18,High,1.3,Protection trip
INC-000321,AST-00136,2025-07-22,Medium,3.2,Protection trip
INC-000322,AST-00136,2025-03-22,Low,2.5,Inspection finding
INC-000323,AST-00136,2024-05-11,Medium,2.0,Electrical fault
INC-000324,AST-00136,2024-03-31,High,7.0,Protection trip
INC-000325,AST-00136,2024-01-03,Low,1.7,Electrical fault
INC-000326,AST-00136,2025-07-20,High,6.9,Electrical fault
INC-000327,AST-00136,2024-05-02,Critical,1.7,Protection trip
INC-000328,AST-00137,2026-03-28,Low,2.1,Electrical fault
INC-000329,AST-00138,2024-08-01,Medium,2.6,Protection trip
INC-000330,AST-00138,2025-03-21,Low,1.2,Inspection finding
INC-000331,AST-00139,2024-07-22,High,6.2,Inspection finding
INC-000332,AST-00139,2024-05-15,Medium,2.2,Overheating
INC-000333,AST-00139,2026-03-31,Medium,1.2,Protection trip
INC-000334,AST-00139,2025-07-04,Low,4.0,Electrical fault
INC-000335,AST-00139,2025-07-19,Medium,3.3,Physical damage
INC-000336,AST-00139,2025-07-13,Medium,4.1,Protection trip
INC-000337,AST-00139,2025-02-20,High,14.2,Inspection finding
INC-000338,AST-00139,2024-04-02,High,8.2,Overheating
INC-000339,AST-00140,2024-02-19,Low,1.4,Overheating
INC-000340,AST-00141,2026-07-19,High,7.8,Overheating
INC-000341,AST-00142,2025-08-30,Low,0.5,Physical damage
INC-000342,AST-00142,2026-01-03,Low,1.7,Electrical fault
INC-000343,AST-00142,2026-03-04,Medium,1.8,Protection trip
INC-000344,AST-00142,2025-06-22,Medium,1.9,Inspection finding
INC-000345,AST-00142,2024-08-12,High,9.9,Physical damage
INC-000346,AST-00143,2025-10-24,High,9.2,Electrical fault
INC-000347,AST-00143,2024-10-11,Medium,1.9,Physical damage
INC-000348,AST-00143,2024-04-07,Low,1.0,Physical damage
INC-000349,AST-00143,2024-01-16,Low,1.4,Overheating
INC-000350,AST-00143,2026-05-13,Medium,1.4,Protection trip
INC-000351,AST-00143,2025-12-10,Medium,4.0,Protection trip
INC-000352,AST-00144,2024-04-26,Critical,18.5,Overheating
INC-000353,AST-00144,2024-12-30,High,4.6,Inspection finding
INC-000354,AST-00144,2024-05-10,Medium,2.6,Overheating
INC-000355,AST-00144,2026-05-15,High,10.1,Electrical fault
INC-000356,AST-00146,2025-05-07,Medium,4.0,Protection trip
INC-000357,AST-00146,2024-10-11,Medium,3.7,Electrical fault
INC-000358,AST-00146,2024-11-18,High,7.9,Overheating
INC-000359,AST-00146,2024-11-07,High,5.1,Protection trip
INC-000360,AST-00146,2025-07-29,High,3.1,Physical damage
INC-000361,AST-00146,2026-06-05,Medium,3.5,Inspection finding
INC-000362,AST-00146,2024-01-05,Low,1.8,Physical damage
INC-000363,AST-00147,2025-02-12,Critical,13.5,Protection trip
INC-000364,AST-00147,2025-12-16,Low,0.4,Protection trip
INC-000365,AST-00147,2026-06-26,Medium,2.6,Overheating
INC-000366,AST-00148,2024-12-05,Medium,3.8,Overheating
INC-000367,AST-00148,2024-06-21,High,4.1,Protection trip
INC-000368,AST-00148,2024-05-24,Medium,0.4,Protection trip
INC-000369,AST-00148,2025-11-11,High,2.7,Electrical fault
INC-000370,AST-00149,2025-03-11,Medium,3.9,Protection trip
INC-000371,AST-00149,2024-05-05,High,4.5,Overheating
INC-000372,AST-00150,2024-01-16,Medium,3.8,Overheating
INC-000373,AST-00150,2026-02-10,High,3.1,Electrical fault
INC-000374,AST-00150,2024-03-29,Medium,2.2,Electrical fault
INC-000375,AST-00150,2026-07-25,Medium,6.8,Overheating
INC-000376,AST-00150,2024-09-22,Medium,0.7,Electrical fault
INC-000377,AST-00151,2024-01-27,Low,3.5,Protection trip
INC-000378,AST-00151,2024-12-16,High,12.2,Electrical fault
INC-000379,AST-00151,2025-11-14,Medium,1.8,Electrical fault
INC-000380,AST-00151,2026-04-24,Low,0.8,Inspection finding
INC-000381,AST-00152,2024-11-11,High,2.9,Protection trip
INC-000382,AST-00152,2024-11-19,Medium,3.3,Electrical fault
INC-000383,AST-00152,2026-04-27,High,5.8,Overheating
INC-000384,AST-00153,2025-02-01,Low,0.5,Physical damage
INC-000385,AST-00153,2025-08-16,Medium,2.7,Overheating
INC-000386,AST-00156,2025-02-19,Low,3.2,Protection trip
INC-000387,AST-00156,2025-01-05,Low,1.5,Inspection finding
INC-000388,AST-00156,2025-03-11,Medium,1.7,Physical damage
INC-000389,AST-00156,2025-07-10,Low,0.5,Physical damage
INC-000390,AST-00156,2024-07-11,Critical,14.5,Protection trip
INC-000391,AST-00156,2024-01-05,Low,1.5,Inspection finding
INC-000392,AST-00157,2025-07-27,Critical,7.7,Inspection finding
INC-000393,AST-00157,2024-07-07,Medium,1.0,Overheating
INC-000394,AST-00157,2026-06-15,Low,2.0,Inspection finding
INC-000395,AST-00157,2026-04-25,Medium,6.7,Inspection finding
INC-000396,AST-00158,2024-03-04,Low,0.5,Electrical fault
INC-000397,AST-00158,2025-07-30,Medium,3.5,Electrical fault
INC-000398,AST-00159,2025-04-09,High,3.9,Inspection finding
INC-000399,AST-00159,2025-01-18,High,13.7,Physical damage
INC-000400,AST-00159,2024-12-10,Low,0.8,Overheating
INC-000401,AST-00159,2026-01-09,Low,2.9,Inspection finding
INC-000402,AST-00159,2025-06-19,Low,1.6,Inspection finding
INC-000403,AST-00160,2024-07-17,High,5.8,Protection trip
INC-000404,AST-00161,2025-09-27,Low,0.7,Electrical fault
INC-000405,AST-00161,2026-08-27,Medium,1.7,Electrical fault
INC-000406,AST-00161,2025-07-25,Low,2.0,Physical damage
INC-000407,AST-00161,2025-12-09,Medium,0.8,Protection trip
INC-000408,AST-00161,2024-09-13,Medium,1.1,Protection trip
INC-000409,AST-00161,2026-08-20,Medium,2.2,Overheating
INC-000410,AST-00163,2024-03-04,Critical,9.5,Electrical fault
INC-000411,AST-00163,2026-03-11,Medium,2.7,Protection trip
INC-000412,AST-00164,2025-02-02,High,0.4,Inspection finding
INC-000413,AST-00164,2025-09-30,Medium,1.1,Inspection finding
INC-000414,AST-00165,2026-07-25,Medium,1.8,Electrical fault
INC-000415,AST-00165,2025-02-22,Low,4.6,Inspection finding
INC-000416,AST-00165,2026-06-02,Low,0.4,Overheating
INC-000417,AST-00165,2024-06-17,Low,2.6,Inspection finding
INC-000418,AST-00165,2026-02-23,Low,0.7,Protection trip
INC-000419,AST-00166,2024-06-24,High,3.4,Physical damage
INC-000420,AST-00166,2026-08-03,High,11.7,Protection trip
INC-000421,AST-00166,2024-06-01,Medium,1.4,Inspection finding
INC-000422,AST-00166,2025-11-07,High,1.1,Inspection finding
INC-000423,AST-00168,2026-02-13,Low,1.5,Protection trip
INC-000424,AST-00168,2024-10-20,Critical,6.7,Inspection finding
INC-000425,AST-00168,2024-01-07,High,5.4,Inspection finding
INC-000426,AST-00169,2025-05-28,Medium,4.9,Inspection finding
INC-000427,AST-00169,2026-06-04,Medium,0.7,Inspection finding
INC-000428,AST-00169,2026-07-04,High,10.6,Inspection finding
INC-000429,AST-00169,2025-02-11,Low,2.8,Overheating
