asset_id,asset_type,borough,install_year,age_years,criticality,base_condition,required_skill
AST-00038,Feeder Cable,Manhattan,2024,2,2,82.4,cable
AST-00039,Circuit Breaker House,Queens,1986,40,4,50.2,breaker
AST-00040,Feeder Cable,Queens,2008,18,2,87.9,cable
AST-00041,Feeder Cable,Brooklyn,2014,12,3,90.1,cable
AST-00042,Third Rail Segment,Queens,1990,36,3,60.3,third_rail
AST-00043,Feeder Cable,Bronx,1996,30,5,72.6,cable
AST-00044,Circuit Breaker House,Queens,1996,30,4,68.9,breaker
AST-00045,Third Rail Segment,Brooklyn,2014,12,3,94.7,third_rail
AST-00046,Third Rail Segment,Brooklyn,1986,40,4,60.4,third_rail
AST-00047,Circuit Breaker House,Queens,2007,19,1,88.8,breaker
AST-00048,Circuit Breaker House,Brooklyn,2004,22,3,77.2,breaker
AST-00049,Feeder Cable,Queens,1995,31,5,70.7,cable
AST-00050,Substation,Brooklyn,1999,27,3,66.8,power
AST-00051,Circuit Breaker House,Queens,2019,7,3,87.7,breaker
AST-00052,Substation,Manhattan,2013,13,4,97.0,power
AST-00053,Third Rail Segment,Manhattan,2011,15,4,84.3,third_rail
AST-00054,Feeder Cable,Bronx,1988,38,1,61.9,cable
AST-00055,Feeder Cable,Bronx,1997,29,2,67.5,cable
AST-00056,Third Rail Segment,Bronx,2011,15,3,78.6,third_rail
AST-00057,Feeder Cable,Bronx,1996,30,2,65.6,cable
AST-00058,Feeder Cable,Brooklyn,1996,30,5,75.6,cable
AST-00059,Substation,Brooklyn,2010,16,3,85.5,power
AST-00060,Substation,Manhattan,2009,17,1,68.5,power
AST-00061,Feeder Cable,Brooklyn,1990,36,2,57.1,cable
AST-00062,Feeder Cable,Manhattan,2003,23,1,86.0,cable
AST-00063,Feeder Cable,Bronx,2020,6,3,91.6,cable
AST-00064,Third Rail Segment,Manhattan,1997,29,3,54.0,third_rail
AST-00065,Feeder Cable,Manhattan,2002,24,3,85.7,cable
AST-00066,Feeder Cable,Manhattan,2005,21,4,80.6,cable
AST-00067,Feeder Cable,Manhattan,1996,30,4,65.0,cable
AST-00068,Circuit Breaker House,Manhattan,1989,37,3,54.9,breaker
AST-00069,Substation,Queens,2012,14,1,91.5,power
AST-00070,Feeder Cable,Brooklyn,2009,17,4,76.7,cable
AST-00071,Circuit Breaker House,Queens,2018,8,4,98.8,breaker
AST-00072,Feeder Cable,Bronx,2000,26,4,73.9,cable
AST-00073,Third Rail Segment,Queens,2009,17,4,82.2,third_rail
AST-00074,Circuit Breaker House,Queens,2012,14,2,84.9,breaker
AST-00075,Substation,Brooklyn,1998,28,5,66.6,power
AST-00076,Circuit Breaker House,Manhattan,2009,17,2,87.8,breaker
AST-00077,Circuit Breaker House,Brooklyn,2007,19,4,72.1,breaker
AST-00078,Feeder Cable,Bronx,2008,18,2,67.9,cable
AST-00079,Feeder Cable,Queens,2015,11,2,91.7,cable
AST-00080,Third Rail Segment,Brooklyn,2020,6,5,97.5,third_rail
AST-00081,Feeder Cable,Brooklyn,1992,34,3,64.3,cable
AST-00082,Feeder Cable,Bronx,2022,4,4,98.3,cable
AST-00083,Third Rail Segment,Queens,2013,13,3,82.8,third_rail
AST-00084,Substation,Queens,1999,27,3,74.5,power
AST-00085,Substation,Bronx,2020,6,5,92.8,power
AST-00086,Substation,Queens,1999,27,3,65.5,power
AST-00087,Feeder Cable,Queens,1996,30,1,63.3,cable
AST-00088,Feeder Cable,Manhattan,1999,27,2,83.1,cable
AST-00089,Substation,Manhattan,2013,13,4,72.9,power
AST-00090,Feeder Cable,Bronx,2025,1,4,100.0,cable
AST-00091,Substation,Queens,1990,36,2,46.8,power
AST-00092,Feeder Cable,Brooklyn,2012,14,2,83.1,cable
AST-00093,Feeder Cable,Queens,1993,33,3,59.0,cable
AST-00094,Circuit Breaker House,Manhattan,2018,8,3,76.2,breaker
AST-00095,Circuit Breaker House,Queens,2019,7,2,94.7,breaker
AST-00096,Feeder Cable,Manhattan,1994,32,3,60.5,cable
AST-00097,Circuit Breaker House,Queens,1988,38,2,41.6,breaker
AST-00098,Substation,Brooklyn,1991,35,4,65.6,power
AST-00099,Substation,Brooklyn,1995,31,4,74.4,power
AST-00100,Third Rail Segment,Manhattan,2016,10,3,98.9,third_rail
AST-00101,Third Rail Segment,Queens,1989,37,3,60.0,third_rail
AST-00102,Feeder Cable,Manhattan,1999,27,3,69.3,cable
AST-00103,Circuit Breaker House,Manhattan,2019,7,2,100.0,breaker
AST-00104,Third Rail Segment,Queens,2020,6,2,100.0,third_rail
AST-00105,Third Rail Segment,Brooklyn,1991,35,2,67.7,third_rail
AST-00106,Feeder Cable,Brooklyn,2014,12,3,79.6,cable
AST-00107,Feeder Cable,Manhattan,1995,31,2,65.8,cable
AST-00108,Circuit Breaker House,Bronx,2020,6,3,96.2,breaker
AST-00109,Substation,Brooklyn,2014,12,4,73.5,power
AST-00110,Third Rail Segment,Manhattan,2014,12,2,89.5,third_rail
AST-00111,Feeder Cable,Brooklyn,2014,12,3,100.0,cable
AST-00112,Circuit Breaker House,Manhattan,1999,27,3,73.4,breaker
AST-00113,Circuit Breaker House,Brooklyn,1989,37,4,67.8,breaker
AST-00114,Feeder Cable,Manhattan,1989,37,3,58.7,cable
AST-00115,Substation,Manhattan,1996,30,2,65.0,power
AST-00116,Third Rail Segment,Brooklyn,2017,9,2,92.3,third_rail
AST-00117,Third Rail Segment,Bronx,1987,39,3,49.4,third_rail
AST-00118,Feeder Cable,Manhattan,2004,22,4,68.0,cable
AST-00119,Feeder Cable,Manhattan,2004,22,1,83.6,cable
AST-00120,Feeder Cable,Bronx,1997,29,4,76.3,cable
AST-00121,Feeder Cable,Bronx,1995,31,4,57.4,cable
AST-00122,Feeder Cable,Queens,1987,39,3,61.9,cable
AST-00123,Substation,Manhattan,2002,24,4,71.8,power
AST-00124,Feeder Cable,Brooklyn,2001,25,2,73.6,cable
AST-00125,Substation,Manhattan,1996,30,3,68.7,power
AST-00126,Feeder Cable,Manhattan,2015,11,2,94.3,cable
AST-00127,Circuit Breaker House,Brooklyn,2013,13,1,85.6,breaker
AST-00128,Substation,Queens,2000,26,4,80.0,power
AST-00129,Substation,Brooklyn,2023,3,2,98.7,power
AST-00130,Feeder Cable,Queens,2013,13,3,89.4,cable
AST-00131,Substation,Brooklyn,1997,29,2,60.8,power
AST-00132,Third Rail Segment,Brooklyn,1986,40,2,69.1,third_rail
AST-00133,Feeder Cable,Queens,2005,21,3,79.1,cable
AST-00134,Circuit Breaker House,Bronx,2010,16,2,86.6,breaker
AST-00135,Feeder Cable,Brooklyn,2008,18,4,68.0,cable
AST-00136,Substation,Queens,1998,28,4,62.0,power
AST-00137,Third Rail Segment,Brooklyn,2004,22,4,83.4,third_rail
AST-00138,Feeder Cable,Manhattan,2025,1,3,100.0,cable
AST-00139,Third Rail Segment,Queens,2004,22,5,61.3,third_rail
AST-00140,Substation,Manhattan,2009,17,2,87.7,power
AST-00141,Feeder Cable,Brooklyn,1997,29,3,62.8,cable
AST-00142,Feeder Cable,Brooklyn,1990,36,4,68.5,cable
AST-00143,Third Rail Segment,Manhattan,1987,39,4,54.5,third_rail
AST-00144,Feeder Cable,Manhattan,2001,25,2,72.7,cable
AST-00145,Feeder Cable,Brooklyn,2011,15,3,91.0,cable
AST-00146,Circuit Breaker House,Bronx,2008,18,5,73.0,breaker
AST-00147,Circuit Breaker House,Queens,2018,8,4,83.9,breaker
AST-00148,Feeder Cable,Brooklyn,1988,38,3,54.9,cable
AST-00149,Feeder Cable,Manhattan,1992,34,3,66.7,cable
AST-00150,Substation,Queens,1991,35,3,50.4,power
AST-00151,Third Rail Segment,Manhattan,2012,14,3,72.2,third_rail
AST-00152,Third Rail Segment,Brooklyn,2013,13,3,90.8,third_rail
AST-00153,Substation,Queens,1991,35,3,55.5,power
AST-00154,Feeder Cable,Brooklyn,2004,22,3,72.0,cable
AST-00155,Substation,Brooklyn,1997,29,3,53.7,power
AST-00156,Feeder Cable,Manhattan,2006,20,4,72.2,cable
AST-00157,Circuit Breaker House,Manhattan,2008,18,5,79.2,breaker
AST-00158,Feeder Cable,Brooklyn,2000,26,1,76.6,cable
AST-00159,Feeder Cable,Bronx,1993,33,4,56.7,cable
AST-00160,Third Rail Segment,Manhattan,2012,14,2,95.5,third_rail
AST-00161,Substation,Queens,1993,33,4,57.3,power
AST-00162,Third Rail Segment,Queens,2016,10,3,83.7,third_rail
AST-00163,Circuit Breaker House,Manhattan,2009,17,4,91.2,breaker
AST-00164,Substation,Manhattan,1989,37,4,58.9,power
AST-00165,Feeder Cable,Brooklyn,1987,39,3,51.3,cable
AST-00166,Circuit Breaker House,Queens,1989,37,4,56.4,breaker
AST-00167,Third Rail Segment,Brooklyn,2013,13,1,94.5,third_rail
AST-00168,Third Rail Segment,Queens,1992,34,5,71.2,third_rail
AST-00169,Circuit Breaker House,Bronx,1988,38,4,50.6,breaker
AST-00170,Third Rail Segment,Queens,1986,40,4,53.7,third_rail
AST-00171,Circuit Breaker House,Bronx,2025,1,2,99.5,breaker
AST-00172,Feeder Cable,Queens,1996,30,2,58.6,cable
AST-00173,Circuit Breaker House,Bronx,1986,40,3,53.6,breaker
AST-00174,Third Rail Segment,Bronx,1995,31,3,64.4,third_rail
AST-00175,Substation,Queens,2016,10,3,96.5,power
AST-00176,Substation,Queens,1995,31,4,72.8,power
AST-00177,Feeder Cable,Bronx,2021,5,1,91.9,cable
AST-00178,Third Rail Segment,Brooklyn,2006,20,4,75.5,third_rail
AST-00179,Third Rail Segment,Queens,2000,26,3,74.8,third_rail
AST-00180,Feeder Cable,Brooklyn,2007,19,3,74.1,cable
AST-00181,Third Rail Segment,Bronx,1998,28,2,71.9,third_rail
AST-00182,Third Rail Segment,Brooklyn,2016,10,4,87.9,third_rail
AST-00183,Feeder Cable,Queens,2001,25,1,64.5,cable
AST-00184,Circuit Breaker House,Queens,2000,26,4,63.4,breaker
AST-00185,Third Rail Segment,Bronx,2000,26,2,80.2,third_rail
AST-00186,Feeder Cable,Manhattan,2014,12,3,85.1,cable
AST-00187,Circuit Breaker House,Queens,2013,13,3,96.5,breaker
AST-00188,Substation,Queens,2015,11,4,83.8,power
AST-00189,Feeder Cable,Bronx,2007,19,3,80.2,cable
AST-00190,Circuit Breaker House,Bronx,2002,24,3,89.1,breaker
AST-00191,Third Rail Segment,Queens,2011,15,3,75.3,third_rail
AST-00192,Circuit Breaker House,Queens,2009,17,4,67.2,breaker
AST-00193,Substation,Manhattan,2014,12,4,95.2,power
AST-00194,Third Rail Segment,Bronx,2017,9,3,83.9,third_rail
AST-00195,Substation,Brooklyn,1999,27,3,68.8,power
AST-00196,Substation,Queens,1993,33,2,57.9,power
AST-00197,Feeder Cable,Queens,2014,12,4,88.1,cable
AST-00198,Third Rail Segment,Brooklyn,1991,35,1,53.1,third_rail
AST-00199,Circuit Breaker House,Manhattan,2003,23,4,72.3,breaker
AST-00200,Circuit Breaker House,Manhattan,2019,7,3,95.1,breaker
AST-00201,Third Rail Segment,Bronx,2011,15,5,75.7,third_rail
AST-00202,Third Rail Segment,Brooklyn,2025,1,2,93.9,third_rail
AST-00203,Feeder Cable,Manhattan,2024,2,3,95.3,cable
AST-00204,Substation,Queens,2012,14,5,73.9,power
AST-00205,Substation,Brooklyn,2007,19,4,75.2,power
AST-00206,Circuit Breaker House,Bronx,1994,32,3,64.0,breaker
AST-00207,Substation,Brooklyn,2020,6,3,90.3,power
AST-00208,Feeder Cable,Manhattan,1992,34,3,59.0,cable
AST-00209,Substation,Manhattan,2016,10,3,88.4,power
AST-00210,Feeder Cable,Brooklyn,2020,6,3,88.5,cable
AST-00211,Feeder Cable,Brooklyn,1998,28,3,72.6,cable
AST-00212,Feeder Cable,Queens,1995,31,2,74.4,cable
AST-00213,Circuit Breaker House,Brooklyn,2001,25,3,68.0,breaker
AST-00214,Third Rail Segment,Brooklyn,2021,5,4,97.6,third_rail
AST-00215,Feeder Cable,Brooklyn,2021,5,3,92.6,cable
AST-00216,Feeder Cable,Brooklyn,2010,16,2,84.2,cable
AST-00217,Substation,Bronx,2007,19,4,89.1,power
AST-00218,Substation,Manhattan,1986,40,4,57.6,power
AST-00219,Third Rail Segment,Bronx,2014,12,2,73.8,third_rail
AST-00220,Circuit Breaker House,Brooklyn,2018,8,3,94.0,breaker
AST-00221,Circuit Breaker House,Manhattan,1988,38,2,64.9,breaker
AST-00222,Feeder Cable,Manhattan,2019,7,2,90.4,cable
AST-00223,Feeder Cable,Manhattan,2024,2,3,100.0,cable
AST-00224,Third Rail Segment,Queens,2009,17,4,75.6,third_rail
AST-00225,Circuit Breaker House,Brooklyn,2009,17,3,70.1,breaker
AST-00226,Third Rail Segment,Brooklyn,2001,25,4,72.2,third_rail
AST-00227,Substation,Queens,1990,36,3,46.3,power
AST-00228,Feeder Cable,Queens,1988,38,3,54.6,cable
AST-00229,Feeder Cable,Bronx,2014,12,3,95.2,cable
AST-00230,Substation,Bronx,1986,40,4,40.6,power
AST-00231,Substation,Queens,2000,26,3,61.1,power
AST-00232,Feeder Cable,Queens,2023,3,2,89.3,cable
AST-00233,Third Rail Segment,Queens,1988,38,2,55.9,third_rail
AST-00234,Feeder Cable,Brooklyn,2020,6,3,90.5,cable
AST-00235,Third Rail Segment,Queens,2002,24,2,82.2,third_rail
AST-00236,Third Rail Segment,Manhattan,1994,32,4,69.9,third_rail
AST-00237,Feeder Cable,Queens,2016,10,3,92.0,cable
AST-00238,Third Rail Segment,Bronx,2015,11,5,88.4,third_rail
AST-00239,Substation,Manhattan,2006,20,1,79.8,power
AST-00240,Substation,Bronx,1990,36,3,52.6,power
AST-00241,Third Rail Segment,Bronx,2017,9,2,95.7,third_rail
AST-00242,Third Rail Segment,Manhattan,1999,27,3,61.2,third_rail
AST-00243,Circuit Breaker House,Brooklyn,2007,19,3,84.0,breaker
AST-00244,Feeder Cable,Bronx,2021,5,1,100.0,cable
AST-00245,Feeder Cable,Bronx,1997,29,3,68.1,cable
AST-00246,Third Rail Segment,Manhattan,1992,34,5,59.7,third_rail
AST-00247,Feeder Cable,Brooklyn,2002,24,3,75.2,cable
AST-00248,Feeder Cable,Queens,2018,8,3,70.8,cable
AST-00249,Circuit Breaker House,Manhattan,2019,7,4,94.1,breaker
AST-00250,Feeder Cable,Brooklyn,2009,17,3,79.7,cable
AST-00251,Feeder Cable,Manhattan,2005,21,3,75.5,cable
AST-00252,Third Rail Segment,Manhattan,2003,23,1,78.5,third_rail
AST-00253,Feeder Cable,Queens,2016,10,4,88.0,cable
AST-00254,Circuit Breaker House,Queens,2005,21,3,67.9,breaker
AST-00255,Circuit Breaker House,Queens,2014,12,2,85.2,breaker
AST-00256,Feeder Cable,Queens,1998,28,3,68.3,cable
AST-00257,Third Rail Segment,Brooklyn,1994,32,3,64.0,third_rail
AST-00258,Substation,Brooklyn,1999,27,3,70.1,power
AST-00259,Substation,Manhattan,2025,1,4,100.0,power
AST-00260,Feeder Cable,Manhattan,1986,40,2,46.4,cable
AST-00261,Substation,Brooklyn,2025,1,4,100.0,power
AST-00262,Third Rail Segment,Manhattan,1986,40,2,63.0,third_rail
AST-00263,Circuit Breaker House,Manhattan,2024,2,3,85.6,breaker
AST-00264,Substation,Manhattan,2005,21,5,77.1,power
AST-00265,Third Rail Segment,Queens,2021,5,4,90.2,third_rail
AST-00266,Substation,Queens,2022,4,3,92.8,power
AST-00267,Circuit Breaker House,Bronx,1998,28,2,61.5,breaker
AST-00268,Substation,Queens,1996,30,3,64.3,power
AST-00269,Substation,Queens,2021,5,3,100.0,power
AST-00270,Substation,Manhattan,1986,40,3,45.1,power
AST-00271,Substation,Queens,2013,13,3,76.9,power
AST-00272,Substation,Manhattan,2013,13,3,75.9,power
AST-00273,Substation,Brooklyn,2014,12,3,98.3,power
AST-00274,Feeder Cable,Brooklyn,2007,19,2,74.9,cable
AST-00275,Feeder Cable,Brooklyn,2018,8,3,90.6,cable
AST-00276,Circuit Breaker House,Brooklyn,2009,17,4,77.6,breaker
AST-00277,Circuit Breaker House,Queens,2017,9,2,83.0,breaker
AST-00278,Feeder Cable,Bronx,2023,3,3,94.9,cable
AST-00279,Third Rail Segment,Queens,2011,15,2,100.0,third_rail
AST-00280,Third Rail Segment,Queens,1999,27,3,78.7,third_rail
AST-00281,Substation,Brooklyn,1995,31,3,58.4,power
AST-00282,Circuit Breaker House,Manhattan,2011,15,5,87.3,breaker
AST-00283,Circuit Breaker House,Queens,2013,13,4,79.2,breaker
AST-00284,Circuit Breaker House,Brooklyn,1994,32,2,50.8,breaker
AST-00285,Feeder Cable,Brooklyn,1998,28,4,74.9,cable
AST-00286,Feeder Cable,Brooklyn,1992,34,2,69.0,cable
AST-00287,Substation,Bronx,1989,37,3,64.8,power
AST-00288,Circuit Breaker House,Queens,1993,33,4,58.8,breaker
AST-00289,Feeder Cable,Brooklyn,1988,38,3,55.1,cable
AST-00290,Substation,Queens,2009,17,4,85.7,power
AST-00291,Third Rail Segment,Brooklyn,2010,16,2,84.3,third_rail
AST-00292,Substation,Brooklyn,2013,13,3,82.3,power
AST-00293,Third Rail Segment,Brooklyn,2016,10,3,77.2,third_rail
AST-00294,Substation,Brooklyn,1996,30,3,66.3,power
AST-00295,Third Rail Segment,Queens,1997,29,4,74.2,third_rail
AST-00296,Third Rail Segment,Manhattan,1993,33,4,53.7,third_rail
AST-00297,Third Rail Segment,Queens,2019,7,5,96.4,third_rail
AST-00298,Third Rail Segment,Brooklyn,2006,20,5,79.3,third_rail
AST-00299,Third Rail Segment,Queens,2017,9,2,94.9,third_rail
AST-00300,Feeder Cable,Queens,1990,36,3,64.7,cable
AST-00301,Third Rail Segment,Queens,2015,11,2,82.5,third_rail
AST-00302,Substation,Queens,2020,6,2,81.8,power
AST-00303,Feeder Cable,Bronx,2003,23,3,69.8,cable
AST-00304,Feeder Cable,Brooklyn,1990,36,2,64.8,cable
AST-00305,Third Rail Segment,Queens,1989,37,2,53.7,third_rail
AST-00306,Feeder Cable,Queens,2022,4,3,90.5,cable
AST-00307,Circuit Breaker House,Manhattan,2012,14,2,71.2,breaker
AST-00308,Feeder Cable,Brooklyn,2019,7,4,100.0,cable
AST-00309,Circuit Breaker House,Brooklyn,2013,13,2,90.8,breaker
AST-00310,Substation,Brooklyn,2004,22,5,80.1,power
AST-00311,Feeder Cable,Brooklyn,2014,12,3,93.0,cable
AST-00312,Feeder Cable,Brooklyn,2023,3,3,100.0,cable
AST-00313,Circuit Breaker House,Queens,2005,21,2,74.1,breaker
AST-00314,Circuit Breaker House,Manhattan,2023,3,5,95.4,breaker
AST-00315,Circuit Breaker House,Queens,2016,10,4,85.5,breaker
AST-00316,Circuit Breaker House,Brooklyn,2025,1,3,100.0,breaker
AST-00317,Circuit Breaker House,Queens,2022,4,2,99.3,breaker
AST-00318,Feeder Cable,Manhattan,2008,18,3,76.1,cable
AST-00319,Circuit Breaker House,Brooklyn,1991,35,2,63.0,breaker
AST-00320,Third Rail Segment,Manhattan,1995,31,5,57.3,third_rail
AST-00321,Third Rail Segment,Queens,2022,4,4,100.0,third_rail
AST-00322,Feeder Cable,Brooklyn,2024,2,3,93.1,cable
AST-00323,Circuit Breaker House,Bronx,2012,14,1,87.4,breaker
AST-00324,Feeder Cable,Brooklyn,1999,27,2,76.4,cable
AST-00325,Third Rail Segment,Queens,1996,30,4,68.2,third_rail
AST-00326,Feeder Cable,Brooklyn,1993,33,4,62.7,cable
AST-00327,Third Rail Segment,Queens,2012,14,4,84.0,third_rail
AST-00328,Feeder Cable,Brooklyn,2019,7,2,91.6,cable
AST-00329,Feeder Cable,Brooklyn,2024,2,4,93.7,cable
AST-00330,Circuit Breaker House,Manhattan,2020,6,4,90.0,breaker
AST-00331,Feeder Cable,Manhattan,2023,3,2,100.0,cable
AST-00332,Circuit Breaker House,Manhattan,1991,35,3,59.0,breaker
AST-00333,Feeder Cable,Bronx,2015,11,3,81.8,cable
AST-00334,Third Rail Segment,Brooklyn,1993,33,3,58.4,third_rail
AST-00335,Substation,Manhattan,2003,23,1,81.3,power
AST-00336,Feeder Cable,Bronx,2004,22,3,79.4,cable
AST-00337,Substation,Manhattan,2007,19,3,82.1,power
AST-00338,Feeder Cable,Brooklyn,1993,33,3,60.2,cable
AST-00339,Substation,Queens,2024,2,3,100.0,power
AST-00340,Third Rail Segment,Bronx,2022,4,3,90.9,third_rail
AST-00341,Substation,Queens,2009,17,3,78.6,power
AST-00342,Third Rail Segment,Brooklyn,2010,16,4,88.4,third_rail
AST-00343,Third Rail Segment,Bronx,2004,22,3,80.8,third_rail
AST-00344,Feeder Cable,Manhattan,1996,30,3,58.6,cable
AST-00345,Third Rail Segment,Bronx,2002,24,3,66.4,third_rail
AST-00346,Third Rail Segment,Bronx,2015,11,1,88.1,third_rail
AST-00347,Third Rail Segment,Bronx,2012,14,4,96.0,third_rail
AST-00348,Circuit Breaker House,Brooklyn,1995,31,3,50.9,breaker
AST-00349,Feeder Cable,Manhattan,2017,9,3,91.6,cable
AST-00350,Substation,Queens,2005,21,4,66.2,power
AST-00351,Feeder Cable,Brooklyn,2004,22,1,70.3,cable
AST-00352,Substation,Brooklyn,1995,31,1,61.8,power
AST-00353,Feeder Cable,Bronx,1997,29,3,63.7,cable
AST-00354,Feeder Cable,Queens,2007,19,3,74.4,cable
AST-00355,Feeder Cable,Brooklyn,2013,13,3,85.1,cable
AST-00356,Feeder Cable,Brooklyn,2011,15,3,79.0,cable
AST-00357,Third Rail Segment,Manhattan,2009,17,4,70.2,third_rail
AST-00358,Third Rail Segment,Manhattan,2017,9,4,95.1,third_rail
AST-00359,Feeder Cable,Manhattan,2000,26,4,75.4,cable
AST-00360,Feeder Cable,Queens,2017,9,3,95.6,cable
AST-00361,Third Rail Segment,Queens,2000,26,1,59.3,third_rail
AST-00362,Substation,Brooklyn,1995,31,4,66.4,power
AST-00363,Substation,Brooklyn,1987,39,4,59.9,power
AST-00364,Substation,Queens,2021,5,4,87.0,power
AST-00365,Feeder Cable,Queens,1995,31,2,64.4,cable
AST-00366,Feeder Cable,Bronx,2022,4,4,94.6,cable
AST-00367,Third Rail Segment,Brooklyn,2012,14,4,96.8,third_rail
AST-00368,Feeder Cable,Queens,2018,8,5,100.0,cable
AST-00369,Circuit Breaker House,Brooklyn,2019,7,2,80.3,breaker
AST-00370,Third Rail Segment,Brooklyn,2018,8,3,100.0,third_rail
AST-00371,Third Rail Segment,Bronx,2024,2,4,91.3,third_rail
AST-00372,Circuit Breaker House,Brooklyn,1993,33,3,68.9,breaker
AST-00373,Circuit Breaker House,Brooklyn,2023,3,2,100.0,breaker
AST-00374,Circuit Breaker House,Brooklyn,2010,16,4,74.6,breaker
AST-00375,Substation,Brooklyn,1998,28,4,71.3,power
AST-00376,Substation,Brooklyn,1986,40,3,53.2,power
AST-00377,Third Rail Segment,Queens,1991,35,3,63.6,third_rail
AST-00378,Feeder Cable,Brooklyn,2020,6,3,94.7,cable
AST-00379,Circuit Breaker House,Manhattan,1986,40,5,62.4,breaker
AST-00380,Feeder Cable,Bronx,1999,27,2,69.5,cable
AST-00381,Feeder Cable,Brooklyn,2018,8,3,89.6,cable
AST-00382,Third Rail Segment,Bronx,2008,18,3,87.0,third_rail
AST-00383,Third Rail Segment,Manhattan,1989,37,4,61.5,third_rail
AST-00384,Feeder Cable,Queens,2010,16,2,86.7,cable
AST-00385,Circuit Breaker House,Brooklyn,2018,8,2,86.1,breaker
AST-00386,Third Rail Segment,Queens,1990,36,1,51.3,third_rail
AST-00387,Feeder Cable,Manhattan,1987,39,3,51.2,cable
AST-00388,Third Rail Segment,Bronx,1986,40,2,49.7,third_rail
AST-00389,Substation,Brooklyn,1987,39,3,60.7,power
AST-00390,Third Rail Segment,Queens,1991,35,4,66.6,third_rail
AST-00391,Feeder Cable,Brooklyn,2007,19,3,77.1,cable
AST-00392,Substation,Manhattan,2018,8,3,100.0,power
AST-00393,Feeder Cable,Brooklyn,2001,25,3,80.8,cable
AST-00394,Feeder Cable,Brooklyn,2017,9,4,91.4,cable
AST-00395,Substation,Brooklyn,2007,19,4,72.4,power
AST-00396,Feeder Cable,Queens,1999,27,3,80.0,cable
AST-00397,Third Rail Segment,Brooklyn,1988,38,3,55.9,third_rail
AST-00398,Circuit Breaker House,Manhattan,2014,12,4,87.1,breaker
AST-00399,Feeder Cable,Manhattan,2015,11,4,85.0,cable
AST-00400,Feeder Cable,Manhattan,1996,30,2,59.3,cable
AST-00401,Circuit Breaker House,Manhattan,2025,1,4,88.6,breaker
AST-00402,Third Rail Segment,Queens,2003,23,2,78.0,third_rail
AST-00403,Third Rail Segment,Manhattan,1996,30,5,60.0,third_rail
AST-00404,Substation,Bronx,2003,23,4,95.0,power
AST-00405,Third Rail Segment,Manhattan,2010,16,3,74.0,third_rail
AST-00406,Third Rail Segment,Manhattan,1992,34,3,52.1,third_rail
AST-00407,Circuit Breaker House,Bronx,2011,15,3,86.3,breaker
AST-00408,Third Rail Segment,Brooklyn,1997,29,4,77.4,third_rail
AST-00409,Substation,Brooklyn,2007,19,3,78.6,power
AST-00410,Third Rail Segment,Bronx,2024,2,3,100.0,third_rail
