asset_id,inspection_date,condition_score,condition_band
AST-00005,2025-09-22,49.7,Poor
AST-00005,2025-12-21,53.9,Poor
AST-00005,2026-03-21,46.0,Poor
AST-00005,2026-06-19,47.2,Poor
AST-00006,2024-01-01,89.6,Good
AST-00006,2024-03-31,92.6,Good
AST-00006,2024-06-29,81.8,Good
AST-00006,2024-09-27,81.7,Good
AST-00006,2024-12-26,86.9,Good
AST-00006,2025-03-26,89.9,Good
AST-00006,2025-06-24,86.9,Good
AST-00006,2025-09-22,85.9,Good
AST-00006,2025-12-21,79.4,Good
AST-00006,2026-03-21,83.2,Good
AST-00006,2026-06-19,83.4,Good
AST-00007,2024-01-01,76.9,Good
AST-00007,2024-03-31,76.0,Good
AST-00007,2024-06-29,76.3,Good
AST-00007,2024-09-27,64.6,Fair
AST-00007,2024-12-26,64.8,Fair
AST-00007,2025-03-26,66.4,Fair
AST-00007,2025-06-24,69.4,Fair
AST-00007,2025-09-22,66.7,Fair
AST-00007,2025-12-21,62.4,Fair
AST-00007,2026-03-21,71.0,Fair
AST-00007,2026-06-19,63.7,Fair
AST-00008,2024-01-01,100.0,Good
AST-00008,2024-03-31,100.0,Good
AST-00008,2024-06-29,100.0,Good
AST-00008,2024-09-27,97.9,Good
AST-00008,2024-12-26,98.1,Good
AST-00008,2025-03-26,92.7,Good
AST-00008,2025-06-24,96.0,Good
AST-00008,2025-09-22,91.4,Good
AST-00008,2025-12-21,93.4,Good
AST-00008,2026-03-21,96.8,Good
AST-00008,2026-06-19,94.8,Good
AST-00009,2024-01-01,70.9,Fair
AST-00009,2024-03-31,67.8,Fair
AST-00009,2024-06-29,70.0,Fair
AST-00009,2024-09-27,62.1,Fair
AST-00009,2024-12-26,68.6,Fair
AST-00009,2025-03-26,61.9,Fair
AST-00009,2025-06-24,61.7,Fair
AST-00009,2025-09-22,61.1,Fair
AST-00009,2025-12-21,67.3,Fair
AST-00009,2026-03-21,58.0,Poor
AST-00009,2026-06-19,61.3,Fair
AST-00010,2024-01-01,71.6,Fair
AST-00010,2024-03-31,69.7,Fair
AST-00010,2024-06-29,65.9,Fair
AST-00010,2024-09-27,63.9,Fair
AST-00010,2024-12-26,63.0,Fair
AST-00010,2025-03-26,69.6,Fair
AST-00010,2025-06-24,62.5,Fair
AST-00010,2025-09-22,60.3,Fair
AST-00010,2025-12-21,66.6,Fair
AST-00010,2026-03-21,64.6,Fair
AST-00010,2026-06-19,61.6,Fair
AST-00011,2024-01-01,72.0,Fair
AST-00011,2024-03-31,63.4,Fair
AST-00011,2024-06-29,68.4,Fair
AST-00011,2024-09-27,69.0,Fair
AST-00011,2024-12-26,64.6,Fair
AST-00011,2025-03-26,63.2,Fair
AST-00011,2025-06-24,72.1,Fair
AST-00011,2025-09-22,58.3,Poor
AST-00011,2025-12-21,63.5,Fair
AST-00011,2026-03-21,58.5,Poor
AST-00011,2026-06-19,60.4,Fair
AST-00012,2024-01-01,74.5,Fair
AST-00012,2024-03-31,81.1,Good
AST-00012,2024-06-29,74.8,Fair
AST-00012,2024-09-27,80.2,Good
AST-00012,2024-12-26,77.7,Good
AST-00012,2025-03-26,68.9,Fair
AST-00012,2025-06-24,67.2,Fair
AST-00012,2025-09-22,64.9,Fair
AST-00012,2025-12-21,64.6,Fair
AST-00012,2026-03-21,70.6,Fair
AST-00012,2026-06-19,70.6,Fair
AST-00013,2024-01-01,92.2,Good
AST-00013,2024-03-31,97.1,Good
AST-00013,2024-06-29,92.7,Good
AST-00013,2024-09-27,91.3,Good
AST-00013,2024-12-26,91.0,Good
AST-00013,2025-03-26,93.5,Good
AST-00013,2025-06-24,83.6,Good
AST-00013,2025-09-22,88.3,Good
AST-00013,2025-12-21,86.9,Good
AST-00013,2026-03-21,90.9,Good
AST-00013,2026-06-19,90.1,Good
AST-00014,2024-01-01,64.8,Fair
AST-00014,2024-03-31,62.9,Fair
AST-00014,2024-06-29,61.3,Fair
AST-00014,2024-09-27,56.8,Poor
AST-00014,2024-12-26,59.7,Poor
AST-00014,2025-03-26,57.0,Poor
AST-00014,2025-06-24,55.8,Poor
AST-00014,2025-09-22,49.5,Poor
AST-00014,2025-12-21,59.8,Poor
AST-00014,2026-03-21,52.4,Poor
AST-00014,2026-06-19,54.8,Poor
AST-00015,2024-01-01,70.0,Fair
AST-00015,2024-03-31,65.9,Fair
AST-00015,2024-06-29,60.5,Fair
AST-00015,2024-09-27,69.6,Fair
AST-00015,2024-12-26,63.9,Fair
AST-00015,2025-03-26,56.9,Poor
AST-00015,2025-06-24,57.3,Poor
AST-00015,2025-09-22,61.5,Fair
AST-00015,2025-12-21,60.0,Poor
AST-00015,2026-03-21,57.7,Poor
AST-00015,2026-06-19,51.6,Poor
AST-00016,2024-01-01,85.0,Good
AST-00016,2024-03-31,87.8,Good
AST-00016,2024-06-29,90.9,Good
AST-00016,2024-09-27,84.8,Good
AST-00016,2024-12-26,83.3,Good
AST-00016,2025-03-26,82.8,Good
AST-00016,2025-06-24,84.9,Good
AST-00016,2025-09-22,76.8,Good
AST-00016,2025-12-21,81.1,Good
AST-00016,2026-03-21,81.7,Good
AST-00016,2026-06-19,83.0,Good
AST-00017,2024-01-01,66.0,Fair
AST-00017,2024-03-31,64.7,Fair
AST-00017,2024-06-29,63.2,Fair
AST-00017,2024-09-27,64.4,Fair
AST-00017,2024-12-26,65.2,Fair
AST-00017,2025-03-26,64.0,Fair
AST-00017,2025-06-24,65.4,Fair
AST-00017,2025-09-22,60.0,Fair
AST-00017,2025-12-21,62.7,Fair
AST-00017,2026-03-21,55.0,Poor
AST-00017,2026-06-19,58.2,Poor
AST-00018,2024-01-01,71.7,Fair
AST-00018,2024-03-31,62.7,Fair
AST-00018,2024-06-29,66.6,Fair
AST-00018,2024-09-27,60.8,Fair
AST-00018,2024-12-26,61.9,Fair
AST-00018,2025-03-26,55.0,Poor
AST-00018,2025-06-24,64.5,Fair
AST-00018,2025-09-22,62.3,Fair
AST-00018,2025-12-21,53.5,Poor
AST-00018,2026-03-21,51.1,Poor
AST-00018,2026-06-19,47.7,Poor
AST-00019,2024-01-01,72.8,Fair
AST-00019,2024-03-31,71.5,Fair
AST-00019,2024-06-29,71.4,Fair
AST-00019,2024-09-27,69.7,Fair
AST-00019,2024-12-26,63.8,Fair
AST-00019,2025-03-26,69.3,Fair
AST-00019,2025-06-24,69.6,Fair
AST-00019,2025-09-22,62.2,Fair
AST-00019,2025-12-21,60.0,Poor
AST-00019,2026-03-21,59.9,Poor
AST-00019,2026-06-19,58.1,Poor
AST-00020,2024-01-01,79.2,Good
AST-00020,2024-03-31,78.4,Good
AST-00020,2024-06-29,76.5,Good
AST-00020,2024-09-27,72.5,Fair
AST-00020,2024-12-26,72.7,Fair
AST-00020,2025-03-26,75.0,Fair
AST-00020,2025-06-24,72.7,Fair
AST-00020,2025-09-22,70.4,Fair
AST-00020,2025-12-21,69.9,Fair
AST-00020,2026-03-21,71.6,Fair
AST-00020,2026-06-19,65.7,Fair
AST-00021,2024-01-01,94.5,Good
AST-00021,2024-03-31,95.9,Good
AST-00021,2024-06-29,100.0,Good
AST-00021,2024-09-27,92.6,Good
AST-00021,2024-12-26,98.4,Good
AST-00021,2025-03-26,89.8,Good
AST-00021,2025-06-24,92.7,Good
AST-00021,2025-09-22,93.9,Good
AST-00021,2025-12-21,89.6,Good
AST-00021,2026-03-21,87.8,Good
AST-00021,2026-06-19,90.4,Good
AST-00022,2024-01-01,59.5,Poor
AST-00022,2024-03-31,65.1,Fair
AST-00022,2024-06-29,58.2,Poor
AST-00022,2024-09-27,60.3,Fair
AST-00022,2024-12-26,55.4,Poor
AST-00022,2025-03-26,55.5,Poor
AST-00022,2025-06-24,54.1,Poor
AST-00022,2025-09-22,56.4,Poor
AST-00022,2025-12-21,53.7,Poor
AST-00022,2026-03-21,46.6,Poor
AST-00022,2026-06-19,44.2,Critical
AST-00023,2024-01-01,66.7,Fair
AST-00023,2024-03-31,66.8,Fair
AST-00023,2024-06-29,72.0,Fair
AST-00023,2024-09-27,68.1,Fair
AST-00023,2024-12-26,70.2,Fair
AST-00023,2025-03-26,62.9,Fair
AST-00023,2025-06-24,63.6,Fair
AST-00023,2025-09-22,62.1,Fair
AST-00023,2025-12-21,57.4,Poor
AST-00023,2026-03-21,65.5,Fair
AST-00023,2026-06-19,56.9,Poor
AST-00024,2024-01-01,68.0,Fair
AST-00024,2024-03-31,71.7,Fair
AST-00024,2024-06-29,72.8,Fair
AST-00024,2024-09-27,70.6,Fair
AST-00024,2024-12-26,68.3,Fair
AST-00024,2025-03-26,70.2,Fair
AST-00024,2025-06-24,61.8,Fair
AST-00024,2025-09-22,56.9,Poor
AST-00024,2025-12-21,62.9,Fair
AST-00024,2026-03-21,58.5,Poor
AST-00024,2026-06-19,60.3,Fair
AST-00025,2024-01-01,100.0,Good
AST-00025,2024-03-31,97.9,Good
AST-00025,2024-06-29,94.1,Good
AST-00025,2024-09-27,89.7,Good
AST-00025,2024-12-26,93.7,Good
AST-00025,2025-03-26,92.2,Good
AST-00025,2025-06-24,89.9,Good
AST-00025,2025-09-22,86.6,Good
AST-00025,2025-12-21,81.3,Good
AST-00025,2026-03-21,83.8,Good
AST-00025,2026-06-19,85.6,Good
AST-00026,2024-01-01,75.1,Good
AST-00026,2024-03-31,79.1,Good
AST-00026,2024-06-29,83.3,Good
AST-00026,2024-09-27,78.5,Good
AST-00026,2024-12-26,77.9,Good
AST-00026,2025-03-26,76.1,Good
AST-00026,2025-06-24,77.6,Good
AST-00026,2025-09-22,85.0,Good
AST-00026,2025-12-21,72.0,Fair
AST-00026,2026-03-21,71.7,Fair
AST-00026,2026-06-19,74.7,Fair
AST-00027,2024-01-01,68.9,Fair
AST-00027,2024-03-31,69.0,Fair
AST-00027,2024-06-29,68.0,Fair
AST-00027,2024-09-27,70.7,Fair
AST-00027,2024-12-26,63.5,Fair
AST-00027,2025-03-26,67.4,Fair
AST-00027,2025-06-24,65.4,Fair
AST-00027,2025-09-22,67.3,Fair
AST-00027,2025-12-21,69.7,Fair
AST-00027,2026-03-21,69.2,Fair
AST-00027,2026-06-19,67.5,Fair
AST-00028,2024-01-01,62.9,Fair
AST-00028,2024-03-31,58.9,Poor
AST-00028,2024-06-29,58.5,Poor
AST-00028,2024-09-27,55.0,Poor
AST-00028,2024-12-26,56.9,Poor
AST-00028,2025-03-26,54.1,Poor
AST-00028,2025-06-24,48.5,Poor
AST-00028,2025-09-22,52.9,Poor
AST-00028,2025-12-21,59.0,Poor
AST-00028,2026-03-21,45.2,Poor
AST-00028,2026-06-19,49.4,Poor
AST-00029,2024-01-01,78.4,Good
AST-00029,2024-03-31,89.0,Good
AST-00029,2024-06-29,89.5,Good
AST-00029,2024-09-27,86.4,Good
AST-00029,2024-12-26,87.2,Good
AST-00029,2025-03-26,81.3,Good
AST-00029,2025-06-24,79.1,Good
AST-00029,2025-09-22,76.4,Good
AST-00029,2025-12-21,80.2,Good
AST-00029,2026-03-21,82.9,Good
AST-00029,2026-06-19,80.9,Good
AST-00030,2024-01-01,83.1,Good
AST-00030,2024-03-31,88.7,Good
AST-00030,2024-06-29,78.2,Good
AST-00030,2024-09-27,79.0,Good
AST-00030,2024-12-26,84.1,Good
AST-00030,2025-03-26,74.0,Fair
AST-00030,2025-06-24,75.3,Good
AST-00030,2025-09-22,78.4,Good
AST-00030,2025-12-21,80.1,Good
AST-00030,2026-03-21,79.4,Good
AST-00030,2026-06-19,80.6,Good
AST-00031,2024-01-01,81.0,Good
AST-00031,2024-03-31,75.5,Good
AST-00031,2024-06-29,76.6,Good
AST-00031,2024-09-27,75.7,Good
AST-00031,2024-12-26,79.2,Good
AST-00031,2025-03-26,78.2,Good
AST-00031,2025-06-24,73.7,Fair
AST-00031,2025-09-22,69.0,Fair
AST-00031,2025-12-21,74.4,Fair
AST-00031,2026-03-21,68.2,Fair
AST-00031,2026-06-19,68.9,Fair
AST-00032,2024-01-01,86.4,Good
AST-00032,2024-03-31,85.7,Good
AST-00032,2024-06-29,81.4,Good
AST-00032,2024-09-27,83.0,Good
AST-00032,2024-12-26,83.1,Good
AST-00032,2025-03-26,86.8,Good
AST-00032,2025-06-24,82.6,Good
AST-00032,2025-09-22,76.7,Good
AST-00032,2025-12-21,76.7,Good
AST-00032,2026-03-21,78.3,Good
AST-00032,2026-06-19,79.0,Good
AST-00033,2024-01-01,99.9,Good
AST-00033,2024-03-31,99.2,Good
AST-00033,2024-06-29,100.0,Good
AST-00033,2024-09-27,98.8,Good
AST-00033,2024-12-26,91.8,Good
AST-00033,2025-03-26,100.0,Good
AST-00033,2025-06-24,96.4,Good
AST-00033,2025-09-22,95.6,Good
AST-00033,2025-12-21,97.9,Good
AST-00033,2026-03-21,96.7,Good
AST-00033,2026-06-19,98.6,Good
AST-00034,2024-01-01,62.8,Fair
AST-00034,2024-03-31,63.8,Fair
AST-00034,2024-06-29,58.2,Poor
AST-00034,2024-09-27,52.2,Poor
AST-00034,2024-12-26,60.3,Fair
AST-00034,2025-03-26,54.8,Poor
AST-00034,2025-06-24,52.2,Poor
AST-00034,2025-09-22,57.0,Poor
AST-00034,2025-12-21,56.1,Poor
AST-00034,2026-03-21,56.4,Poor
AST-00034,2026-06-19,57.5,Poor
AST-00035,2024-01-01,60.9,Fair
AST-00035,2024-03-31,55.3,Poor
AST-00035,2024-06-29,62.2,Fair
AST-00035,2024-09-27,60.7,Fair
AST-00035,2024-12-26,54.2,Poor
AST-00035,2025-03-26,63.0,Fair
AST-00035,2025-06-24,53.1,Poor
AST-00035,2025-09-22,58.2,Poor
AST-00035,2025-12-21,56.2,Poor
AST-00035,2026-03-21,49.6,Poor
AST-00035,2026-06-19,50.4,Poor
AST-00036,2024-01-01,78.4,Good
AST-00036,2024-03-31,79.3,Good
AST-00036,2024-06-29,73.1,Fair
AST-00036,2024-09-27,72.8,Fair
AST-00036,2024-12-26,70.2,Fair
AST-00036,2025-03-26,78.2,Good
AST-00036,2025-06-24,76.4,Good
AST-00036,2025-09-22,72.6,Fair
AST-00036,2025-12-21,68.3,Fair
AST-00036,2026-03-21,71.5,Fair
AST-00036,2026-06-19,71.5,Fair
AST-00037,2024-01-01,73.1,Fair
AST-00037,2024-03-31,64.8,Fair
AST-00037,2024-06-29,72.4,Fair
AST-00037,2024-09-27,68.4,Fair
AST-00037,2024-12-26,71.8,Fair
AST-00037,2025-03-26,69.7,Fair
AST-00037,2025-06-24,63.7,Fair
AST-00037,2025-09-22,66.4,Fair
AST-00037,2025-12-21,64.1,Fair
AST-00037,2026-03-21,65.6,Fair
AST-00037,2026-06-19,61.5,Fair
AST-00038,2024-01-01,80.8,Good
AST-00038,2024-03-31,79.9,Good
AST-00038,2024-06-29,74.6,Fair
AST-00038,2024-09-27,81.2,Good
AST-00038,2024-12-26,84.9,Good
AST-00038,2025-03-26,76.5,Good
AST-00038,2025-06-24,78.4,Good
AST-00038,2025-09-22,74.7,Fair
AST-00038,2025-12-21,67.0,Fair
AST-00038,2026-03-21,71.0,Fair
AST-00038,2026-06-19,78.6,Good
AST-00039,2024-01-01,57.4,Poor
AST-00039,2024-03-31,49.5,Poor
AST-00039,2024-06-29,46.1,Poor
AST-00039,2024-09-27,50.8,Poor
AST-00039,2024-12-26,44.4,Critical
AST-00039,2025-03-26,47.7,Poor
AST-00039,2025-06-24,46.1,Poor
AST-00039,2025-09-22,42.8,Critical
AST-00039,2025-12-21,46.7,Poor
AST-00039,2026-03-21,43.8,Critical
AST-00039,2026-06-19,49.1,Poor
AST-00040,2024-01-01,91.6,Good
AST-00040,2024-03-31,87.3,Good
AST-00040,2024-06-29,82.0,Good
AST-00040,2024-09-27,82.2,Good
AST-00040,2024-12-26,88.1,Good
AST-00040,2025-03-26,86.5,Good
AST-00040,2025-06-24,79.3,Good
AST-00040,2025-09-22,82.4,Good
AST-00040,2025-12-21,78.9,Good
AST-00040,2026-03-21,76.8,Good
AST-00040,2026-06-19,74.2,Fair
AST-00041,2024-01-01,89.6,Good
AST-00041,2024-03-31,89.1,Good
AST-00041,2024-06-29,87.2,Good
AST-00041,2024-09-27,83.5,Good
AST-00041,2024-12-26,87.8,Good
AST-00041,2025-03-26,84.2,Good
AST-00041,2025-06-24,87.5,Good
AST-00041,2025-09-22,85.2,Good
AST-00041,2025-12-21,82.1,Good
AST-00041,2026-03-21,85.8,Good
AST-00041,2026-06-19,79.6,Good
AST-00042,2024-01-01,58.0,Poor
AST-00042,2024-03-31,60.0,Fair
AST-00042,2024-06-29,61.8,Fair
AST-00042,2024-09-27,58.3,Poor
AST-00042,2024-12-26,58.9,Poor
AST-00042,2025-03-26,58.9,Poor
AST-00042,2025-06-24,56.5,Poor
AST-00042,2025-09-22,58.0,Poor
AST-00042,2025-12-21,57.4,Poor
AST-00042,2026-03-21,50.7,Poor
AST-00042,2026-06-19,60.1,Fair
AST-00043,2024-01-01,77.4,Good
AST-00043,2024-03-31,72.1,Fair
AST-00043,2024-06-29,74.0,Fair
AST-00043,2024-09-27,70.1,Fair
AST-00043,2024-12-26,71.2,Fair
AST-00043,2025-03-26,70.9,Fair
AST-00043,2025-06-24,65.3,Fair
AST-00043,2025-09-22,67.2,Fair
AST-00043,2025-12-21,69.2,Fair
AST-00043,2026-03-21,67.3,Fair
AST-00043,2026-06-19,67.7,Fair
AST-00044,2024-01-01,73.8,Fair
AST-00044,2024-03-31,70.5,Fair
AST-00044,2024-06-29,65.1,Fair
AST-00044,2024-09-27,69.7,Fair
AST-00044,2024-12-26,70.3,Fair
AST-00044,2025-03-26,69.7,Fair
AST-00044,2025-06-24,64.5,Fair
AST-00044,2025-09-22,68.5,Fair
AST-00044,2025-12-21,63.8,Fair
AST-00044,2026-03-21,67.5,Fair
AST-00044,2026-06-19,71.1,Fair
AST-00045,2024-01-01,91.7,Good
AST-00045,2024-03-31,92.5,Good
AST-00045,2024-06-29,93.1,Good
AST-00045,2024-09-27,96.1,Good
AST-00045,2024-12-26,100.0,Good
AST-00045,2025-03-26,91.5,Good
AST-00045,2025-06-24,89.2,Good
AST-00045,2025-09-22,87.4,Good
AST-00045,2025-12-21,80.8,Good
AST-00045,2026-03-21,85.9,Good
AST-00045,2026-06-19,85.4,Good
AST-00046,2024-01-01,65.0,Fair
AST-00046,2024-03-31,53.2,Poor
AST-00046,2024-06-29,59.3,Poor
AST-00046,2024-09-27,59.9,Poor
AST-00046,2024-12-26,54.6,Poor
AST-00046,2025-03-26,62.3,Fair
AST-00046,2025-06-24,58.3,Poor
AST-00046,2025-09-22,59.3,Poor
AST-00046,2025-12-21,56.4,Poor
AST-00046,2026-03-21,55.3,Poor
AST-00046,2026-06-19,50.7,Poor
AST-00047,2024-01-01,91.1,Good
AST-00047,2024-03-31,91.3,Good
AST-00047,2024-06-29,88.9,Good
AST-00047,2024-09-27,83.3,Good
AST-00047,2024-12-26,82.9,Good
AST-00047,2025-03-26,79.9,Good
AST-00047,2025-06-24,82.4,Good
AST-00047,2025-09-22,86.8,Good
AST-00047,2025-12-21,83.4,Good
AST-00047,2026-03-21,78.0,Good
AST-00047,2026-06-19,74.5,Fair
AST-00048,2024-01-01,78.0,Good
AST-00048,2024-03-31,77.4,Good
AST-00048,2024-06-29,73.9,Fair
AST-00048,2024-09-27,72.2,Fair
AST-00048,2024-12-26,70.3,Fair
AST-00048,2025-03-26,70.0,Fair
AST-00048,2025-06-24,66.3,Fair
AST-00048,2025-09-22,69.0,Fair
AST-00048,2025-12-21,68.3,Fair
AST-00048,2026-03-21,66.5,Fair
AST-00048,2026-06-19,64.7,Fair
AST-00049,2024-01-01,75.0,Fair
AST-00049,2024-03-31,69.1,Fair
AST-00049,2024-06-29,69.4,Fair
AST-00049,2024-09-27,74.5,Fair
AST-00049,2024-12-26,63.3,Fair
AST-00049,2025-03-26,60.7,Fair
AST-00049,2025-06-24,68.4,Fair
AST-00049,2025-09-22,65.3,Fair
AST-00049,2025-12-21,71.7,Fair
AST-00049,2026-03-21,67.9,Fair
AST-00049,2026-06-19,66.5,Fair
AST-00050,2024-01-01,69.5,Fair
AST-00050,2024-03-31,63.0,Fair
AST-00050,2024-06-29,66.2,Fair
AST-00050,2024-09-27,72.2,Fair
AST-00050,2024-12-26,60.9,Fair
AST-00050,2025-03-26,64.5,Fair
AST-00050,2025-06-24,60.7,Fair
AST-00050,2025-09-22,65.7,Fair
AST-00050,2025-12-21,66.3,Fair
AST-00050,2026-03-21,59.7,Poor
AST-00050,2026-06-19,62.3,Fair
AST-00051,2024-01-01,92.2,Good
AST-00051,2024-03-31,87.3,Good
AST-00051,2024-06-29,82.9,Good
AST-00051,2024-09-27,87.1,Good
AST-00051,2024-12-26,91.3,Good
AST-00051,2025-03-26,79.6,Good
AST-00051,2025-06-24,82.0,Good
AST-00051,2025-09-22,81.8,Good
AST-00051,2025-12-21,83.7,Good
AST-00051,2026-03-21,82.3,Good
AST-00051,2026-06-19,82.6,Good
AST-00052,2024-01-01,100.0,Good
AST-00052,2024-03-31,96.0,Good
AST-00052,2024-06-29,92.6,Good
AST-00052,2024-09-27,94.8,Good
AST-00052,2024-12-26,98.7,Good
AST-00052,2025-03-26,92.3,Good
AST-00052,2025-06-24,94.3,Good
AST-00052,2025-09-22,91.7,Good
AST-00052,2025-12-21,89.8,Good
AST-00052,2026-03-21,88.3,Good
AST-00052,2026-06-19,91.8,Good
AST-00053,2024-01-01,82.6,Good
AST-00053,2024-03-31,82.6,Good
AST-00053,2024-06-29,76.7,Good
AST-00053,2024-09-27,80.5,Good
AST-00053,2024-12-26,79.6,Good
AST-00053,2025-03-26,79.6,Good
AST-00053,2025-06-24,76.3,Good
AST-00053,2025-09-22,72.8,Fair
AST-00053,2025-12-21,77.2,Good
AST-00053,2026-03-21,76.8,Good
AST-00053,2026-06-19,71.7,Fair
AST-00054,2024-01-01,62.6,Fair
AST-00054,2024-03-31,59.7,Poor
AST-00054,2024-06-29,60.1,Fair
AST-00054,2024-09-27,60.6,Fair
AST-00054,2024-12-26,57.9,Poor
AST-00054,2025-03-26,55.8,Poor
AST-00054,2025-06-24,64.9,Fair
AST-00054,2025-09-22,57.6,Poor
AST-00054,2025-12-21,58.3,Poor
AST-00054,2026-03-21,61.4,Fair
AST-00054,2026-06-19,60.3,Fair
AST-00055,2024-01-01,64.2,Fair
AST-00055,2024-03-31,65.4,Fair
AST-00055,2024-06-29,76.4,Good
AST-00055,2024-09-27,66.6,Fair
AST-00055,2024-12-26,68.7,Fair
AST-00055,2025-03-26,66.6,Fair
AST-00055,2025-06-24,64.5,Fair
AST-00055,2025-09-22,65.1,Fair
AST-00055,2025-12-21,65.5,Fair
AST-00055,2026-03-21,65.4,Fair
AST-00055,2026-06-19,55.3,Poor
AST-00056,2024-01-01,76.8,Good
AST-00056,2024-03-31,74.6,Fair
AST-00056,2024-06-29,69.8,Fair
AST-00056,2024-09-27,71.7,Fair
AST-00056,2024-12-26,66.1,Fair
AST-00056,2025-03-26,78.0,Good
AST-00056,2025-06-24,69.2,Fair
AST-00056,2025-09-22,67.9,Fair
AST-00056,2025-12-21,70.7,Fair
AST-00056,2026-03-21,66.2,Fair
AST-00056,2026-06-19,67.9,Fair
AST-00057,2024-01-01,64.3,Fair
AST-00057,2024-03-31,64.3,Fair
AST-00057,2024-06-29,62.6,Fair
AST-00057,2024-09-27,65.8,Fair
AST-00057,2024-12-26,60.2,Fair
AST-00057,2025-03-26,52.9,Poor
AST-00057,2025-06-24,60.6,Fair
AST-00057,2025-09-22,62.7,Fair
AST-00057,2025-12-21,56.3,Poor
AST-00057,2026-03-21,54.3,Poor
AST-00057,2026-06-19,54.9,Poor
AST-00058,2024-01-01,67.8,Fair
AST-00058,2024-03-31,71.1,Fair
AST-00058,2024-06-29,71.0,Fair
AST-00058,2024-09-27,74.8,Fair
AST-00058,2024-12-26,70.0,Fair
AST-00058,2025-03-26,72.9,Fair
AST-00058,2025-06-24,65.1,Fair
AST-00058,2025-09-22,76.8,Good
AST-00058,2025-12-21,64.7,Fair
AST-00058,2026-03-21,63.2,Fair
AST-00058,2026-06-19,70.0,Fair
AST-00059,2024-01-01,81.7,Good
AST-00059,2024-03-31,85.0,Good
AST-00059,2024-06-29,92.2,Good
AST-00059,2024-09-27,79.9,Good
AST-00059,2024-12-26,74.0,Fair
AST-00059,2025-03-26,79.3,Good
AST-00059,2025-06-24,75.7,Good
AST-00059,2025-09-22,73.6,Fair
AST-00059,2025-12-21,77.2,Good
AST-00059,2026-03-21,77.6,Good
AST-00059,2026-06-19,74.4,Fair
AST-00060,2024-01-01,69.5,Fair
AST-00060,2024-03-31,62.1,Fair
AST-00060,2024-06-29,64.2,Fair
AST-00060,2024-09-27,67.4,Fair
AST-00060,2024-12-26,59.9,Poor
AST-00060,2025-03-26,63.9,Fair
AST-00060,2025-06-24,58.1,Poor
AST-00060,2025-09-22,63.0,Fair
AST-00060,2025-12-21,55.8,Poor
AST-00060,2026-03-21,60.2,Fair
AST-00060,2026-06-19,59.0,Poor
AST-00061,2024-01-01,57.0,Poor
AST-00061,2024-03-31,55.0,Poor
AST-00061,2024-06-29,50.2,Poor
AST-00061,2024-09-27,48.5,Poor
AST-00061,2024-12-26,58.7,Poor
AST-00061,2025-03-26,47.6,Poor
AST-00061,2025-06-24,42.7,Critical
AST-00061,2025-09-22,48.8,Poor
AST-00061,2025-12-21,44.8,Critical
AST-00061,2026-03-21,45.5,Poor
AST-00061,2026-06-19,43.8,Critical
AST-00062,2024-01-01,81.8,Good
AST-00062,2024-03-31,78.3,Good
AST-00062,2024-06-29,84.2,Good
AST-00062,2024-09-27,87.6,Good
AST-00062,2024-12-26,81.7,Good
AST-00062,2025-03-26,83.0,Good
