work_order_id,asset_id,work_type,priority,created_date,sla_due_date,completed_date,status,estimated_hours,required_skill
WO-0005543,AST-00198,Corrective,Medium,2024-01-05,2024-01-15,2024-01-09,Completed,6.6,third_rail
WO-0005859,AST-00695,Corrective,Medium,2024-01-05,2024-01-15,2024-01-08,Completed,5.4,third_rail
WO-0005897,AST-00750,Corrective,Medium,2024-01-05,2024-01-15,2024-01-07,Completed,5.5,third_rail
WO-0005972,AST-00838,Corrective,Medium,2024-01-05,2024-01-15,2024-01-11,Completed,4.0,third_rail
WO-0006060,AST-00939,Corrective,Medium,2024-01-05,2024-01-15,2024-01-05,Completed,6.8,third_rail
WO-0006068,AST-00945,Corrective,High,2024-01-05,2024-01-10,2024-01-10,Completed,7.6,cable
WO-0001028,AST-00264,Preventive,Medium,2024-01-06,2024-01-16,2024-01-08,Completed,5.3,power
WO-0001052,AST-00270,Preventive,Medium,2024-01-06,2024-01-16,2024-01-11,Completed,6.2,power
WO-0001196,AST-00308,Preventive,Medium,2024-01-06,2024-01-16,2024-01-11,Completed,3.9,cable
WO-0002289,AST-00587,Preventive,Medium,2024-01-06,2024-01-16,2024-01-08,Completed,5.6,power
WO-0002990,AST-00760,Preventive,Medium,2024-01-06,2024-01-16,2024-01-12,Completed,3.1,cable
WO-0004104,AST-00093,Corrective,High,2024-01-06,2024-01-11,2024-01-09,Completed,4.0,cable
WO-0004755,AST-00549,Corrective,High,2024-01-06,2024-01-11,2024-01-13,Completed,7.3,third_rail
WO-0005563,AST-00230,Corrective,High,2024-01-06,2024-01-11,2024-01-08,Completed,7.3,power
WO-0005569,AST-00233,Corrective,Medium,2024-01-06,2024-01-16,2024-01-06,Completed,3.9,third_rail
WO-0005609,AST-00289,Corrective,Medium,2024-01-06,2024-01-16,2024-01-17,Completed,8.1,cable
WO-0005845,AST-00675,Corrective,Medium,2024-01-06,2024-01-16,2024-01-10,Completed,6.3,cable
WO-0005988,AST-00869,Corrective,Medium,2024-01-06,2024-01-16,2024-01-06,Completed,4.7,power
WO-0006028,AST-00902,Corrective,Medium,2024-01-06,2024-01-16,2024-01-16,Completed,9.3,breaker
WO-0006040,AST-00908,Corrective,Medium,2024-01-06,2024-01-16,2024-01-08,Completed,6.7,power
WO-0000432,AST-00112,Preventive,Medium,2024-01-07,2024-01-17,2024-01-11,Completed,5.4,breaker
WO-0000963,AST-00247,Preventive,Medium,2024-01-07,2024-01-17,2024-01-09,Completed,4.4,cable
WO-0001720,AST-00439,Preventive,Medium,2024-01-07,2024-01-17,2024-01-09,Completed,6.1,cable
WO-0001827,AST-00466,Preventive,Medium,2024-01-07,2024-01-17,2024-01-08,Completed,3.2,cable
WO-0002835,AST-00721,Preventive,Medium,2024-01-07,2024-01-17,2024-01-19,Completed,6.0,cable
WO-0004502,AST-00363,Corrective,High,2024-01-07,2024-01-12,2024-01-08,Completed,3.1,power
WO-0000543,AST-00141,Preventive,Medium,2024-01-08,2024-01-18,2024-01-20,Completed,4.0,cable
WO-0001302,AST-00333,Preventive,Medium,2024-01-08,2024-01-18,2024-01-10,Completed,6.6,cable
WO-0001360,AST-00350,Preventive,Medium,2024-01-08,2024-01-18,2024-01-09,Completed,5.4,power
WO-0002867,AST-00730,Preventive,Medium,2024-01-08,2024-01-18,2024-01-09,Completed,4.9,cable
WO-0003069,AST-00782,Preventive,Medium,2024-01-08,2024-01-18,2024-01-20,Completed,3.0,third_rail
WO-0004213,AST-00156,Corrective,Medium,2024-01-08,2024-01-18,2024-01-10,Completed,4.5,cable
WO-0004229,AST-00168,Corrective,High,2024-01-08,2024-01-13,2024-01-10,Completed,4.3,third_rail
WO-0004669,AST-00490,Corrective,High,2024-01-08,2024-01-13,2024-01-12,Completed,6.7,cable
WO-0004987,AST-00719,Corrective,Medium,2024-01-08,2024-01-18,2024-01-14,Completed,8.1,cable
WO-0005371,AST-00986,Corrective,Medium,2024-01-08,2024-01-18,2024-01-08,Completed,6.2,third_rail
WO-0000338,AST-00086,Preventive,Medium,2024-01-09,2024-01-19,2024-01-10,Completed,5.5,power
WO-0000799,AST-00204,Preventive,Medium,2024-01-09,2024-01-19,2024-01-20,Completed,3.6,power
WO-0000995,AST-00255,Preventive,Medium,2024-01-09,2024-01-19,2024-01-11,Completed,4.2,breaker
WO-0002727,AST-00695,Preventive,Medium,2024-01-09,2024-01-19,2024-01-09,Completed,5.2,third_rail
WO-0003238,AST-00824,Preventive,Medium,2024-01-09,2024-01-19,2024-01-13,Completed,5.4,cable
WO-0003394,AST-00859,Preventive,Medium,2024-01-09,2024-01-19,2024-01-12,Completed,5.4,breaker
WO-0003960,AST-00996,Preventive,Medium,2024-01-09,2024-01-19,2024-01-14,Completed,2.3,cable
WO-0004529,AST-00383,Corrective,Critical,2024-01-09,2024-01-11,2024-01-13,Completed,10.6,third_rail
WO-0004535,AST-00387,Corrective,Critical,2024-01-09,2024-01-11,2024-01-09,Completed,11.2,cable
WO-0000092,AST-00025,Preventive,Medium,2024-01-10,2024-01-20,2024-01-15,Completed,5.4,third_rail
WO-0000365,AST-00094,Preventive,Medium,2024-01-10,2024-01-20,2024-01-10,Completed,6.9,breaker
WO-0001782,AST-00454,Preventive,Medium,2024-01-10,2024-01-20,2024-01-22,Completed,5.9,power
WO-0004684,AST-00497,Corrective,High,2024-01-10,2024-01-15,2024-01-13,Completed,7.0,cable
WO-0004854,AST-00623,Corrective,Medium,2024-01-10,2024-01-20,2024-01-11,Completed,5.9,third_rail
WO-0001265,AST-00325,Preventive,Medium,2024-01-11,2024-01-21,2024-01-12,Completed,5.2,third_rail
WO-0001576,AST-00403,Preventive,Medium,2024-01-11,2024-01-21,2024-01-12,Completed,4.6,third_rail
WO-0002442,AST-00625,Preventive,Medium,2024-01-11,2024-01-21,2024-01-12,Completed,4.7,third_rail
WO-0003746,AST-00943,Preventive,Medium,2024-01-11,2024-01-21,2024-01-18,Completed,7.6,power
WO-0004065,AST-00058,Corrective,Medium,2024-01-11,2024-01-21,2024-01-16,Completed,10.3,cable
WO-0000521,AST-00136,Preventive,Medium,2024-01-12,2024-01-22,2024-01-16,Completed,5.8,power
WO-0001567,AST-00401,Preventive,Medium,2024-01-12,2024-01-22,2024-01-13,Completed,3.7,breaker
WO-0001714,AST-00438,Preventive,Medium,2024-01-12,2024-01-22,2024-01-15,Completed,2.9,cable
WO-0004243,AST-00176,Corrective,Medium,2024-01-12,2024-01-22,2024-01-17,Completed,7.3,power
WO-0005060,AST-00770,Corrective,Medium,2024-01-12,2024-01-22,2024-01-14,Completed,6.4,cable
WO-0002494,AST-00637,Preventive,Medium,2024-01-13,2024-01-23,2024-01-18,Completed,5.5,cable
WO-0003707,AST-00933,Preventive,Medium,2024-01-13,2024-01-23,2024-01-14,Completed,8.1,cable
WO-0004483,AST-00354,Corrective,Medium,2024-01-13,2024-01-23,2024-01-14,Completed,8.8,cable
WO-0000146,AST-00039,Preventive,Medium,2024-01-14,2024-01-24,2024-01-16,Completed,2.6,breaker
WO-0001295,AST-00331,Preventive,Medium,2024-01-14,2024-01-24,2024-01-15,Completed,4.3,cable
WO-0001433,AST-00367,Preventive,Medium,2024-01-14,2024-01-24,2024-01-15,Completed,4.8,third_rail
WO-0002811,AST-00716,Preventive,Medium,2024-01-14,2024-01-24,2024-01-15,Completed,4.3,breaker
WO-0003512,AST-00886,Preventive,Medium,2024-01-14,2024-01-24,2024-01-14,Completed,5.8,breaker
WO-0003557,AST-00897,Preventive,Medium,2024-01-14,2024-01-24,2024-01-15,Completed,6.4,breaker
WO-0003753,AST-00945,Preventive,Medium,2024-01-14,2024-01-24,2024-01-21,Completed,7.3,cable
WO-0001520,AST-00390,Preventive,Medium,2024-01-15,2024-01-25,2024-01-16,Completed,6.2,third_rail
WO-0003954,AST-00994,Preventive,Medium,2024-01-15,2024-01-25,2024-01-27,Completed,1.8,breaker
WO-0004317,AST-00226,Corrective,Medium,2024-01-15,2024-01-25,2024-01-17,Completed,4.6,third_rail
WO-0000498,AST-00129,Preventive,Medium,2024-01-16,2024-01-26,2024-01-19,Completed,6.6,power
WO-0000835,AST-00214,Preventive,Medium,2024-01-16,2024-01-26,2024-01-24,Completed,5.8,third_rail
WO-0002119,AST-00544,Preventive,Medium,2024-01-16,2024-01-26,2024-01-16,Completed,4.4,third_rail
WO-0002942,AST-00749,Preventive,Medium,2024-01-16,2024-01-26,2024-01-20,Completed,3.0,third_rail
WO-0004708,AST-00513,Corrective,Medium,2024-01-16,2024-01-26,2024-01-20,Completed,2.0,power
WO-0005048,AST-00767,Corrective,Medium,2024-01-16,2024-01-26,2024-01-19,Completed,7.5,breaker
WO-0005071,AST-00782,Corrective,High,2024-01-16,2024-01-21,2024-01-19,Completed,7.1,third_rail
WO-0000108,AST-00029,Preventive,Medium,2024-01-17,2024-01-27,2024-01-20,Completed,5.7,power
WO-0000616,AST-00159,Preventive,Medium,2024-01-17,2024-01-27,2024-01-19,Completed,4.7,cable
WO-0000793,AST-00202,Preventive,Medium,2024-01-17,2024-01-27,2024-01-22,Completed,5.8,third_rail
WO-0002933,AST-00747,Preventive,Medium,2024-01-17,2024-01-27,2024-01-17,Completed,3.3,breaker
WO-0004575,AST-00421,Corrective,High,2024-01-17,2024-01-22,2024-01-20,Completed,3.5,cable
WO-0004655,AST-00474,Corrective,High,2024-01-17,2024-01-22,2024-01-18,Completed,2.1,power
WO-0002051,AST-00528,Preventive,Medium,2024-01-18,2024-01-28,2024-01-24,Completed,4.0,third_rail
WO-0002604,AST-00665,Preventive,Medium,2024-01-18,2024-01-28,2024-01-19,Completed,4.3,breaker
WO-0002642,AST-00674,Preventive,Medium,2024-01-18,2024-01-28,2024-01-18,Completed,3.2,cable
WO-0004205,AST-00150,Corrective,Medium,2024-01-18,2024-01-28,2024-01-19,Completed,7.4,power
WO-0000441,AST-00114,Preventive,Medium,2024-01-19,2024-01-29,2024-01-21,Completed,7.0,cable
WO-0001462,AST-00374,Preventive,Medium,2024-01-19,2024-01-29,2024-01-26,Completed,5.0,breaker
WO-0002184,AST-00560,Preventive,Medium,2024-01-19,2024-01-29,2024-01-20,Completed,3.9,cable
WO-0003586,AST-00903,Preventive,Medium,2024-01-19,2024-01-29,2024-01-21,Completed,6.3,power
WO-0004873,AST-00645,Corrective,High,2024-01-19,2024-01-24,2024-01-20,Completed,10.4,cable
WO-0004991,AST-00722,Corrective,Medium,2024-01-19,2024-01-29,2024-01-22,Completed,7.5,cable
WO-0000939,AST-00241,Preventive,Medium,2024-01-20,2024-01-30,2024-01-24,Completed,5.9,third_rail
WO-0003371,AST-00854,Preventive,Medium,2024-01-20,2024-01-30,2024-01-20,Completed,5.6,third_rail
WO-0004073,AST-00064,Corrective,Medium,2024-01-20,2024-01-30,2024-01-21,Completed,5.9,third_rail
WO-0005207,AST-00866,Corrective,Medium,2024-01-20,2024-01-30,2024-01-24,Completed,6.8,third_rail
WO-0005285,AST-00919,Corrective,Medium,2024-01-20,2024-01-30,2024-01-22,Completed,7.9,breaker
WO-0000673,AST-00172,Preventive,Medium,2024-01-21,2024-01-31,2024-01-23,Completed,5.3,cable
WO-0000879,AST-00225,Preventive,Medium,2024-01-21,2024-01-31,2024-01-23,Completed,4.1,breaker
WO-0001219,AST-00313,Preventive,Medium,2024-01-21,2024-01-31,2024-01-26,Completed,6.4,breaker
WO-0001468,AST-00375,Preventive,Medium,2024-01-21,2024-01-31,2024-01-24,Completed,5.7,power
WO-0001971,AST-00507,Preventive,Medium,2024-01-21,2024-01-31,2024-01-26,Completed,6.1,breaker
WO-0002589,AST-00661,Preventive,Medium,2024-01-21,2024-01-31,2024-01-25,Completed,4.9,breaker
WO-0002743,AST-00698,Preventive,Medium,2024-01-21,2024-01-31,2024-01-23,Completed,4.1,cable
WO-0003252,AST-00827,Preventive,Medium,2024-01-21,2024-01-31,2024-01-26,Completed,2.8,cable
WO-0004092,AST-00081,Corrective,High,2024-01-21,2024-01-26,2024-01-21,Completed,5.0,cable
WO-0005262,AST-00905,Corrective,High,2024-01-21,2024-01-26,2024-01-22,Completed,2.8,third_rail
WO-0000565,AST-00146,Preventive,Medium,2024-01-22,2024-02-01,2024-01-26,Completed,5.3,breaker
WO-0000778,AST-00199,Preventive,Medium,2024-01-22,2024-02-01,2024-01-29,Completed,7.2,breaker
WO-0001886,AST-00482,Preventive,Medium,2024-01-22,2024-02-01,2024-01-23,Completed,3.0,breaker
WO-0002004,AST-00515,Preventive,Medium,2024-01-22,2024-02-01,2024-01-31,Completed,5.3,breaker
WO-0002155,AST-00553,Preventive,Medium,2024-01-22,2024-02-01,2024-01-22,Completed,6.0,breaker
WO-0003551,AST-00895,Preventive,Medium,2024-01-22,2024-02-01,2024-01-23,Completed,5.1,third_rail
WO-0003821,AST-00963,Preventive,Medium,2024-01-22,2024-02-01,2024-01-29,Completed,4.0,power
WO-0000472,AST-00122,Preventive,Medium,2024-01-23,2024-02-02,2024-01-31,Completed,4.4,cable
WO-0001995,AST-00513,Preventive,Medium,2024-01-23,2024-02-02,2024-01-24,Completed,4.6,power
WO-0002321,AST-00594,Preventive,Medium,2024-01-23,2024-02-02,2024-01-25,Completed,4.5,cable
WO-0003296,AST-00836,Preventive,Medium,2024-01-23,2024-02-02,2024-01-24,Completed,2.5,cable
WO-0000167,AST-00044,Preventive,Medium,2024-01-24,2024-02-03,2024-01-24,Completed,5.7,breaker
WO-0000267,AST-00070,Preventive,Medium,2024-01-24,2024-02-03,2024-01-25,Completed,5.4,cable
WO-0000552,AST-00143,Preventive,Medium,2024-01-24,2024-02-03,2024-01-27,Completed,4.0,third_rail
WO-0002074,AST-00534,Preventive,Medium,2024-01-24,2024-02-03,2024-01-25,Completed,3.7,cable
WO-0004572,AST-00417,Corrective,High,2024-01-24,2024-01-29,2024-02-04,Completed,4.2,power
WO-0001865,AST-00476,Preventive,Medium,2024-01-25,2024-02-04,2024-02-03,Completed,4.9,breaker
WO-0002243,AST-00575,Preventive,Medium,2024-01-25,2024-02-04,2024-01-28,Completed,5.6,third_rail
WO-0003577,AST-00901,Preventive,Medium,2024-01-25,2024-02-04,2024-01-26,Completed,4.4,cable
WO-0004294,AST-00214,Corrective,Medium,2024-01-25,2024-02-04,2024-01-28,Completed,7.9,third_rail
WO-0004845,AST-00617,Corrective,High,2024-01-25,2024-01-30,2024-01-29,Completed,6.0,cable
WO-0004983,AST-00717,Corrective,Critical,2024-01-25,2024-01-27,2024-01-26,Completed,6.7,cable
WO-0002430,AST-00622,Preventive,Medium,2024-01-26,2024-02-05,2024-01-28,Completed,7.0,cable
WO-0003426,AST-00866,Preventive,Medium,2024-01-26,2024-02-05,2024-01-29,Completed,4.3,third_rail
WO-0004786,AST-00571,Corrective,Medium,2024-01-26,2024-02-05,2024-02-01,Completed,4.8,breaker
WO-0004876,AST-00649,Corrective,High,2024-01-26,2024-01-31,2024-02-07,Completed,6.7,cable
WO-0000953,AST-00245,Preventive,Medium,2024-01-27,2024-02-06,2024-01-29,Completed,3.8,cable
WO-0001456,AST-00372,Preventive,Medium,2024-01-27,2024-02-06,2024-01-31,Completed,5.6,breaker
WO-0002295,AST-00588,Preventive,Medium,2024-01-28,2024-02-07,2024-01-29,Completed,3.8,breaker
WO-0004062,AST-00056,Corrective,Medium,2024-01-28,2024-02-07,2024-02-03,Completed,5.3,third_rail
WO-0000077,AST-00022,Preventive,Medium,2024-01-29,2024-02-08,2024-01-29,Completed,4.5,breaker
WO-0001414,AST-00363,Preventive,Medium,2024-01-29,2024-02-08,2024-01-29,Completed,4.4,power
WO-0003138,AST-00800,Preventive,Medium,2024-01-29,2024-02-08,2024-02-05,Completed,5.1,cable
WO-0004914,AST-00672,Corrective,Medium,2024-01-29,2024-02-08,2024-02-07,Completed,7.2,cable
WO-0004944,AST-00690,Corrective,Medium,2024-01-29,2024-02-08,2024-01-31,Completed,2.3,cable
WO-0000071,AST-00021,Preventive,Medium,2024-01-30,2024-02-09,2024-01-30,Completed,3.7,third_rail
WO-0000221,AST-00057,Preventive,Medium,2024-01-30,2024-02-09,2024-02-01,Completed,5.0,cable
WO-0000332,AST-00085,Preventive,Medium,2024-01-30,2024-02-09,2024-02-01,Completed,4.2,power
WO-0000919,AST-00236,Preventive,Medium,2024-01-30,2024-02-09,2024-01-30,Completed,6.6,third_rail
WO-0001211,AST-00311,Preventive,Medium,2024-01-30,2024-02-09,2024-02-03,Completed,4.8,cable
WO-0002035,AST-00523,Preventive,Medium,2024-01-30,2024-02-09,2024-02-07,Completed,5.3,power
WO-0002858,AST-00728,Preventive,Medium,2024-01-30,2024-02-09,2024-02-01,Completed,5.1,power
WO-0003721,AST-00937,Preventive,Medium,2024-01-30,2024-02-09,2024-02-07,Completed,5.6,third_rail
WO-0004142,AST-00119,Corrective,Medium,2024-01-30,2024-02-09,2024-02-03,Completed,7.2,cable
WO-0005034,AST-00755,Corrective,Medium,2024-01-30,2024-02-09,2024-02-02,Completed,7.5,cable
WO-0000017,AST-00005,Preventive,Medium,2024-01-31,2024-02-10,2024-02-05,Completed,5.6,power
WO-0001385,AST-00357,Preventive,Medium,2024-01-31,2024-02-10,2024-02-02,Completed,3.8,third_rail
WO-0002281,AST-00584,Preventive,Medium,2024-01-31,2024-02-10,2024-01-31,Completed,7.5,breaker
WO-0002488,AST-00636,Preventive,Medium,2024-01-31,2024-02-10,2024-01-31,Completed,5.4,power
WO-0003074,AST-00784,Preventive,Medium,2024-01-31,2024-02-10,2024-02-01,Completed,6.7,cable
WO-0003454,AST-00873,Preventive,Medium,2024-01-31,2024-02-10,2024-02-01,Completed,5.5,third_rail
WO-0003547,AST-00894,Preventive,Medium,2024-01-31,2024-02-10,2024-02-02,Completed,6.1,power
WO-0003561,AST-00898,Preventive,Medium,2024-01-31,2024-02-10,2024-02-02,Completed,4.9,breaker
WO-0004413,AST-00300,Corrective,Medium,2024-01-31,2024-02-10,2024-02-05,Completed,7.0,cable
WO-0000083,AST-00023,Preventive,Medium,2024-02-01,2024-02-11,2024-02-04,Completed,6.4,third_rail
WO-0000212,AST-00054,Preventive,Medium,2024-02-01,2024-02-11,2024-02-04,Completed,4.8,cable
WO-0001205,AST-00310,Preventive,Medium,2024-02-01,2024-02-11,2024-02-08,Completed,4.5,power
WO-0001595,AST-00407,Preventive,Medium,2024-02-01,2024-02-11,2024-02-04,Completed,5.2,breaker
WO-0002362,AST-00604,Preventive,Medium,2024-02-01,2024-02-11,2024-02-02,Completed,4.7,cable
WO-0002630,AST-00671,Preventive,Medium,2024-02-01,2024-02-11,2024-02-02,Completed,5.8,power
WO-0002737,AST-00697,Preventive,Medium,2024-02-01,2024-02-11,2024-02-02,Completed,4.2,cable
WO-0003840,AST-00967,Preventive,Medium,2024-02-01,2024-02-11,2024-02-03,Completed,5.4,third_rail
WO-0003882,AST-00978,Preventive,Medium,2024-02-01,2024-02-11,2024-02-02,Completed,5.1,cable
WO-0000848,AST-00217,Preventive,Medium,2024-02-02,2024-02-12,2024-02-04,Completed,4.5,power
WO-0001742,AST-00444,Preventive,Medium,2024-02-02,2024-02-12,2024-02-04,Completed,5.0,breaker
WO-0002815,AST-00717,Preventive,Medium,2024-02-02,2024-02-12,2024-02-04,Completed,4.1,cable
WO-0000128,AST-00034,Preventive,Medium,2024-02-03,2024-02-13,2024-02-06,Completed,3.1,breaker
WO-0001420,AST-00364,Preventive,Medium,2024-02-03,2024-02-13,2024-02-09,Completed,5.8,power
WO-0001675,AST-00427,Preventive,Medium,2024-02-03,2024-02-13,2024-02-16,Completed,3.6,breaker
WO-0003190,AST-00813,Preventive,Medium,2024-02-03,2024-02-13,2024-02-08,Completed,7.3,third_rail
WO-0003696,AST-00930,Preventive,Medium,2024-02-03,2024-02-13,2024-02-03,Completed,5.1,cable
WO-0003788,AST-00955,Preventive,Medium,2024-02-03,2024-02-13,2024-02-06,Completed,9.0,third_rail
WO-0003817,AST-00962,Preventive,Medium,2024-02-03,2024-02-13,2024-02-06,Completed,6.0,cable
WO-0004313,AST-00226,Corrective,Medium,2024-02-03,2024-02-13,2024-02-04,Completed,8.2,third_rail
WO-0001375,AST-00354,Preventive,Medium,2024-02-04,2024-02-14,2024-02-14,Completed,4.2,cable
WO-0003179,AST-00810,Preventive,Medium,2024-02-04,2024-02-14,2024-02-05,Completed,6.3,third_rail
WO-0003654,AST-00920,Preventive,Medium,2024-02-04,2024-02-14,2024-02-09,Completed,5.2,cable
WO-0003945,AST-00992,Preventive,Medium,2024-02-04,2024-02-14,2024-02-06,Completed,6.7,third_rail
WO-0004956,AST-00695,Corrective,Critical,2024-02-04,2024-02-06,2024-02-08,Completed,8.0,third_rail
WO-0000622,AST-00160,Preventive,Medium,2024-02-05,2024-02-15,2024-02-11,Completed,4.3,third_rail
WO-0000682,AST-00175,Preventive,Medium,2024-02-05,2024-02-15,2024-02-09,Completed,5.4,power
WO-0002239,AST-00574,Preventive,Medium,2024-02-05,2024-02-15,2024-02-06,Completed,3.7,third_rail
WO-0002788,AST-00709,Preventive,Medium,2024-02-05,2024-02-15,2024-02-09,Completed,5.3,cable
WO-0003010,AST-00767,Preventive,Medium,2024-02-05,2024-02-15,2024-02-09,Completed,6.9,breaker
WO-0003852,AST-00970,Preventive,Medium,2024-02-05,2024-02-15,2024-02-06,Completed,6.1,breaker
WO-0004850,AST-00621,Corrective,Medium,2024-02-05,2024-02-15,2024-02-12,Completed,5.5,third_rail
WO-0000428,AST-00111,Preventive,Medium,2024-02-06,2024-02-16,2024-02-12,Completed,6.3,cable
WO-0000461,AST-00120,Preventive,Medium,2024-02-06,2024-02-16,2024-02-09,Completed,5.6,cable
WO-0001215,AST-00312,Preventive,Medium,2024-02-06,2024-02-16,2024-02-07,Completed,3.6,cable
WO-0003313,AST-00840,Preventive,Medium,2024-02-06,2024-02-16,2024-02-12,Completed,4.9,cable
WO-0003414,AST-00863,Preventive,Medium,2024-02-06,2024-02-16,2024-02-09,Completed,7.0,third_rail
WO-0004329,AST-00234,Corrective,High,2024-02-06,2024-02-11,2024-02-07,Completed,8.4,cable
WO-0001484,AST-00379,Preventive,Medium,2024-02-07,2024-02-17,2024-02-12,Completed,5.3,breaker
WO-0001599,AST-00408,Preventive,Medium,2024-02-07,2024-02-17,2024-02-08,Completed,3.8,third_rail
WO-0003443,AST-00870,Preventive,Medium,2024-02-07,2024-02-17,2024-02-10,Completed,6.5,breaker
