asset_id,rank,driver,driver_points
AST-00636,3,Inspection decline,5.35
AST-00636,4,Condition deterioration,0.0
AST-00636,5,Recent incidents,0.0
AST-00637,1,Asset criticality,8.0
AST-00637,2,Recent incidents,5.0
AST-00637,3,Maintenance interval,0.95
AST-00637,4,Condition deterioration,0.0
AST-00637,5,Inspection decline,0.0
AST-00638,1,Condition deterioration,8.3
AST-00638,2,Asset criticality,4.0
AST-00638,3,Inspection decline,2.2
AST-00638,4,Maintenance interval,0.89
AST-00638,5,Recent incidents,0.0
AST-00639,1,Maintenance interval,10.92
AST-00639,2,Inspection decline,4.64
AST-00639,3,Asset criticality,2.0
AST-00639,4,Condition deterioration,0.0
AST-00639,5,Recent incidents,0.0
AST-00640,1,Asset criticality,10.0
AST-00640,2,Condition deterioration,8.8
AST-00640,3,Recent incidents,5.0
AST-00640,4,Maintenance interval,2.07
AST-00640,5,Inspection decline,1.52
AST-00641,1,Maintenance interval,7.23
AST-00641,2,Asset criticality,6.0
AST-00641,3,Inspection decline,3.61
AST-00641,4,Condition deterioration,0.0
AST-00641,5,Recent incidents,0.0
AST-00642,1,Inspection decline,3.94
AST-00642,2,Asset criticality,2.0
AST-00642,3,Maintenance interval,1.32
AST-00642,4,Condition deterioration,0.0
AST-00642,5,Recent incidents,0.0
AST-00643,1,Maintenance interval,7.99
AST-00643,2,Asset criticality,4.0
AST-00643,3,Inspection decline,3.36
AST-00643,4,Condition deterioration,0.0
AST-00643,5,Recent incidents,0.0
AST-00645,1,Maintenance interval,7.07
AST-00645,2,Asset criticality,6.0
AST-00645,3,Inspection decline,2.05
AST-00645,4,Condition deterioration,0.0
AST-00645,5,Recent incidents,0.0
AST-00646,1,Asset criticality,6.0
AST-00646,2,Maintenance interval,4.31
AST-00646,3,Inspection decline,1.0
AST-00646,4,Condition deterioration,0.0
AST-00646,5,Recent incidents,0.0
AST-00647,1,Asset criticality,10.0
AST-00647,2,Maintenance interval,2.73
AST-00647,3,Inspection decline,1.4
AST-00647,4,Condition deterioration,0.0
AST-00647,5,Recent incidents,0.0
AST-00648,1,Condition deterioration,7.23
AST-00648,2,Maintenance interval,5.69
AST-00648,3,Recent incidents,5.0
AST-00648,4,Asset criticality,4.0
AST-00648,5,Inspection decline,1.59
AST-00649,1,Condition deterioration,10.75
AST-00649,2,Maintenance interval,4.08
AST-00649,3,Asset criticality,4.0
AST-00649,4,Inspection decline,0.0
AST-00649,5,Recent incidents,0.0
AST-00650,1,Asset criticality,6.0
AST-00650,2,Maintenance interval,5.0
AST-00650,3,Condition deterioration,0.0
AST-00650,4,Inspection decline,0.0
AST-00650,5,Recent incidents,0.0
AST-00651,1,Condition deterioration,11.0
AST-00651,2,Asset criticality,8.0
AST-00651,3,Inspection decline,5.23
AST-00651,4,Recent incidents,5.0
AST-00651,5,Maintenance interval,4.87
AST-00652,1,Asset criticality,8.0
AST-00652,2,Maintenance interval,5.16
AST-00652,3,Condition deterioration,4.46
AST-00652,4,Inspection decline,4.04
AST-00652,5,Recent incidents,0.0
AST-00653,1,Asset criticality,8.0
AST-00653,2,Condition deterioration,6.85
AST-00653,3,Maintenance interval,4.64
AST-00653,4,Inspection decline,0.05
AST-00653,5,Recent incidents,0.0
AST-00654,1,Maintenance interval,9.47
AST-00654,2,Asset criticality,6.0
AST-00654,3,Inspection decline,1.93
AST-00654,4,Condition deterioration,0.0
AST-00654,5,Recent incidents,0.0
AST-00655,1,Condition deterioration,12.19
AST-00655,2,Asset criticality,8.0
AST-00655,3,Maintenance interval,5.13
AST-00655,4,Inspection decline,3.61
AST-00655,5,Recent incidents,0.0
AST-00657,1,Asset criticality,6.0
AST-00657,2,Inspection decline,2.69
AST-00657,3,Maintenance interval,2.63
AST-00657,4,Condition deterioration,0.0
AST-00657,5,Recent incidents,0.0
AST-00687,1,Maintenance interval,7.17
AST-00687,2,Asset criticality,4.0
AST-00687,3,Inspection decline,1.28
AST-00687,4,Condition deterioration,0.0
AST-00687,5,Recent incidents,0.0
AST-00717,1,Asset criticality,8.0
AST-00717,2,Maintenance interval,5.95
AST-00717,3,Inspection decline,2.29
AST-00717,4,Condition deterioration,0.0
AST-00717,5,Recent incidents,0.0
AST-00689,1,Maintenance interval,7.3
AST-00689,2,Asset criticality,6.0
AST-00689,3,Inspection decline,0.8
AST-00689,4,Condition deterioration,0.0
AST-00689,5,Recent incidents,0.0
AST-00722,1,Condition deterioration,9.18
AST-00722,2,Asset criticality,6.0
AST-00722,3,Recent incidents,5.0
AST-00722,4,Maintenance interval,1.51
AST-00722,5,Inspection decline,0.0
AST-00723,1,Maintenance interval,10.13
AST-00723,2,Asset criticality,2.0
AST-00723,3,Condition deterioration,0.0
AST-00723,4,Inspection decline,0.0
AST-00723,5,Recent incidents,0.0
AST-00724,1,Maintenance interval,8.22
AST-00724,2,Asset criticality,4.0
AST-00724,3,Condition deterioration,0.0
AST-00724,4,Inspection decline,0.0
AST-00724,5,Recent incidents,0.0
AST-00725,1,Maintenance interval,7.89
AST-00725,2,Condition deterioration,4.09
AST-00725,3,Asset criticality,2.0
AST-00725,4,Inspection decline,1.52
AST-00725,5,Recent incidents,0.0
AST-00726,1,Asset criticality,6.0
AST-00726,2,Recent incidents,5.0
AST-00726,3,Maintenance interval,4.6
AST-00726,4,Condition deterioration,0.88
AST-00726,5,Inspection decline,0.03
AST-00727,1,Maintenance interval,8.28
AST-00727,2,Asset criticality,6.0
AST-00727,3,Inspection decline,1.38
AST-00727,4,Condition deterioration,0.0
AST-00727,5,Recent incidents,0.0
AST-00728,1,Asset criticality,6.0
AST-00728,2,Maintenance interval,3.22
AST-00728,3,Inspection decline,1.07
AST-00728,4,Condition deterioration,0.0
AST-00728,5,Recent incidents,0.0
AST-00729,1,Asset criticality,10.0
AST-00729,2,Condition deterioration,5.28
AST-00729,3,Maintenance interval,2.6
AST-00729,4,Inspection decline,0.0
AST-00729,5,Recent incidents,0.0
AST-00730,1,Asset criticality,8.0
AST-00730,2,Condition deterioration,4.71
AST-00730,3,Inspection decline,2.01
AST-00730,4,Maintenance interval,1.08
AST-00730,5,Recent incidents,0.0
AST-00731,1,Condition deterioration,20.62
AST-00731,2,Asset criticality,8.0
AST-00731,3,Maintenance interval,4.18
AST-00731,4,Inspection decline,0.0
AST-00731,5,Recent incidents,0.0
AST-00732,1,Maintenance interval,7.17
AST-00732,2,Asset criticality,4.0
AST-00732,3,Condition deterioration,3.58
AST-00732,4,Inspection decline,0.0
AST-00732,5,Recent incidents,0.0
AST-00733,1,Condition deterioration,14.46
AST-00733,2,Repeat-failure signal,12.0
AST-00733,3,Recent incidents,10.0
AST-00733,4,Asset criticality,4.0
AST-00733,5,Maintenance interval,2.33
AST-00734,1,Asset criticality,6.0
AST-00734,2,Maintenance interval,4.77
AST-00734,3,Inspection decline,1.28
AST-00734,4,Condition deterioration,0.0
AST-00734,5,Recent incidents,0.0
AST-00735,1,Asset criticality,6.0
AST-00735,2,Recent incidents,5.0
AST-00735,3,Inspection decline,3.15
AST-00735,4,Maintenance interval,0.72
AST-00735,5,Condition deterioration,0.0
AST-00736,1,Maintenance interval,2.5
AST-00736,2,Asset criticality,2.0
AST-00736,3,Inspection decline,0.28
AST-00736,4,Condition deterioration,0.0
AST-00736,5,Recent incidents,0.0
AST-00737,1,Asset criticality,6.0
AST-00737,2,Condition deterioration,2.2
AST-00737,3,Inspection decline,0.26
AST-00737,4,Maintenance interval,0.07
AST-00737,5,Recent incidents,0.0
AST-00738,1,Maintenance interval,6.18
AST-00738,2,Asset criticality,6.0
AST-00738,3,Inspection decline,3.89
AST-00738,4,Condition deterioration,0.0
AST-00738,5,Recent incidents,0.0
AST-00739,1,Maintenance interval,6.48
AST-00739,2,Asset criticality,6.0
AST-00739,3,Inspection decline,3.71
AST-00739,4,Condition deterioration,0.0
AST-00739,5,Recent incidents,0.0
AST-00740,1,Maintenance interval,7.23
AST-00740,2,Asset criticality,4.0
AST-00740,3,Inspection decline,2.29
AST-00740,4,Condition deterioration,0.0
AST-00740,5,Recent incidents,0.0
AST-00741,1,Asset criticality,6.0
AST-00741,2,Inspection decline,1.52
AST-00741,3,Maintenance interval,0.43
AST-00741,4,Condition deterioration,0.0
AST-00741,5,Recent incidents,0.0
AST-00742,1,Asset criticality,6.0
AST-00742,2,Inspection decline,2.01
AST-00742,3,Maintenance interval,0.23
AST-00742,4,Condition deterioration,0.0
AST-00742,5,Recent incidents,0.0
AST-00743,1,Asset criticality,6.0
AST-00743,2,Condition deterioration,3.77
AST-00743,3,Inspection decline,2.75
AST-00743,4,Maintenance interval,1.55
AST-00743,5,Recent incidents,0.0
AST-00744,1,Asset criticality,8.0
AST-00744,2,Condition deterioration,6.54
AST-00744,3,Maintenance interval,1.51
AST-00744,4,Inspection decline,0.61
AST-00744,5,Recent incidents,0.0
AST-00745,1,Asset criticality,8.0
AST-00745,2,Maintenance interval,1.58
AST-00745,3,Condition deterioration,0.0
AST-00745,4,Inspection decline,0.0
AST-00745,5,Recent incidents,0.0
AST-00746,1,Asset criticality,6.0
AST-00746,2,Maintenance interval,1.38
AST-00746,3,Condition deterioration,0.0
AST-00746,4,Inspection decline,0.0
AST-00746,5,Recent incidents,0.0
AST-00747,1,Asset criticality,6.0
AST-00747,2,Maintenance interval,3.68
AST-00747,3,Inspection decline,0.89
AST-00747,4,Condition deterioration,0.0
AST-00747,5,Recent incidents,0.0
AST-00627,1,Condition deterioration,18.92
AST-00627,2,Maintenance interval,9.44
AST-00627,3,Asset criticality,6.0
AST-00627,4,Inspection decline,1.98
AST-00627,5,Recent incidents,0.0
AST-00721,1,Asset criticality,10.0
AST-00721,2,Condition deterioration,5.72
AST-00721,3,Recent incidents,5.0
AST-00721,4,Maintenance interval,1.15
AST-00721,5,Inspection decline,0.0
AST-00688,1,Asset criticality,8.0
AST-00688,2,Recent incidents,5.0
AST-00688,3,Maintenance interval,5.0
AST-00688,4,Condition deterioration,0.0
AST-00688,5,Inspection decline,0.0
AST-00720,1,Asset criticality,6.0
AST-00720,2,Inspection decline,5.95
AST-00720,3,Recent incidents,5.0
AST-00720,4,Maintenance interval,0.1
AST-00720,5,Condition deterioration,0.0
AST-00718,1,Repeat-failure signal,12.0
AST-00718,2,Recent incidents,10.0
AST-00718,3,Asset criticality,8.0
AST-00718,4,Condition deterioration,3.83
AST-00718,5,Maintenance interval,2.56
AST-00690,1,Condition deterioration,8.49
AST-00690,2,Maintenance interval,6.05
AST-00690,3,Asset criticality,6.0
AST-00690,4,Inspection decline,0.25
AST-00690,5,Recent incidents,0.0
AST-00691,1,Maintenance interval,6.67
AST-00691,2,Condition deterioration,6.35
AST-00691,3,Asset criticality,6.0
AST-00691,4,Inspection decline,2.63
AST-00691,5,Recent incidents,0.0
AST-00692,1,Asset criticality,8.0
AST-00692,2,Condition deterioration,7.67
AST-00692,3,Maintenance interval,4.54
AST-00692,4,Inspection decline,3.85
AST-00692,5,Recent incidents,0.0
AST-00693,1,Condition deterioration,7.1
AST-00693,2,Recent incidents,5.0
AST-00693,3,Asset criticality,4.0
AST-00693,4,Inspection decline,2.28
AST-00693,5,Maintenance interval,2.24
AST-00694,1,Maintenance interval,12.0
AST-00694,2,Recent incidents,5.0
AST-00694,3,Asset criticality,4.0
AST-00694,4,Condition deterioration,0.0
AST-00694,5,Inspection decline,0.0
AST-00695,1,Condition deterioration,17.22
AST-00695,2,Asset criticality,6.0
AST-00695,3,Recent incidents,5.0
AST-00695,4,Maintenance interval,3.88
AST-00695,5,Inspection decline,2.48
AST-00696,1,Asset criticality,8.0
AST-00696,2,Maintenance interval,5.06
AST-00696,3,Condition deterioration,0.0
AST-00696,4,Inspection decline,0.0
AST-00696,5,Recent incidents,0.0
AST-00697,1,Asset criticality,8.0
AST-00697,2,Maintenance interval,6.18
AST-00697,3,Inspection decline,2.76
AST-00697,4,Condition deterioration,0.0
AST-00697,5,Recent incidents,0.0
AST-00698,1,Asset criticality,4.0
AST-00698,2,Maintenance interval,3.85
AST-00698,3,Inspection decline,0.12
AST-00698,4,Condition deterioration,0.0
AST-00698,5,Recent incidents,0.0
AST-00699,1,Asset criticality,8.0
AST-00699,2,Maintenance interval,3.25
AST-00699,3,Inspection decline,0.77
AST-00699,4,Condition deterioration,0.0
AST-00699,5,Recent incidents,0.0
AST-00700,1,Asset criticality,4.0
AST-00700,2,Maintenance interval,3.58
AST-00700,3,Condition deterioration,0.0
AST-00700,4,Inspection decline,0.0
AST-00700,5,Recent incidents,0.0
AST-00701,1,Asset criticality,6.0
AST-00701,2,Recent incidents,5.0
AST-00701,3,Maintenance interval,4.47
AST-00701,4,Condition deterioration,3.14
AST-00701,5,Inspection decline,0.0
AST-00702,1,Maintenance interval,11.93
AST-00702,2,Asset criticality,4.0
AST-00702,3,Condition deterioration,3.14
AST-00702,4,Inspection decline,0.95
AST-00702,5,Recent incidents,0.0
AST-00703,1,Asset criticality,10.0
AST-00703,2,Recent incidents,5.0
AST-00703,3,Inspection decline,3.55
AST-00703,4,Maintenance interval,0.43
AST-00703,5,Condition deterioration,0.0
AST-00704,1,Asset criticality,8.0
AST-00704,2,Condition deterioration,6.66
AST-00704,3,Recent incidents,5.0
AST-00704,4,Inspection decline,4.52
AST-00704,5,Maintenance interval,1.35
AST-00705,1,Asset criticality,8.0
AST-00705,2,Maintenance interval,5.52
AST-00705,3,Inspection decline,2.55
AST-00705,4,Condition deterioration,0.0
AST-00705,5,Recent incidents,0.0
AST-00706,1,Asset criticality,8.0
AST-00706,2,Maintenance interval,7.23
AST-00706,3,Inspection decline,2.54
AST-00706,4,Condition deterioration,0.0
AST-00706,5,Recent incidents,0.0
AST-00707,1,Condition deterioration,10.43
AST-00707,2,Asset criticality,10.0
AST-00707,3,Inspection decline,5.85
AST-00707,4,Recent incidents,5.0
AST-00707,5,Maintenance interval,1.84
AST-00708,1,Maintenance interval,8.12
AST-00708,2,Asset criticality,2.0
AST-00708,3,Inspection decline,0.53
AST-00708,4,Condition deterioration,0.0
AST-00708,5,Recent incidents,0.0
AST-00709,1,Condition deterioration,7.73
AST-00709,2,Recent incidents,5.0
AST-00709,3,Asset criticality,4.0
AST-00709,4,Maintenance interval,1.28
AST-00709,5,Inspection decline,0.0
AST-00710,1,Condition deterioration,11.13
AST-00710,2,Asset criticality,6.0
AST-00710,3,Maintenance interval,1.18
AST-00710,4,Inspection decline,0.0
AST-00710,5,Recent incidents,0.0
AST-00711,1,Maintenance interval,10.52
AST-00711,2,Asset criticality,4.0
AST-00711,3,Inspection decline,3.04
AST-00711,4,Condition deterioration,0.0
AST-00711,5,Recent incidents,0.0
AST-00712,1,Maintenance interval,10.65
AST-00712,2,Asset criticality,4.0
AST-00712,3,Inspection decline,2.47
AST-00712,4,Condition deterioration,0.0
AST-00712,5,Recent incidents,0.0
AST-00713,1,Condition deterioration,8.74
AST-00713,2,Asset criticality,6.0
AST-00713,3,Inspection decline,2.05
AST-00713,4,Maintenance interval,0.69
AST-00713,5,Recent incidents,0.0
AST-00714,1,Asset criticality,4.0
AST-00714,2,Maintenance interval,3.81
AST-00714,3,Inspection decline,2.61
AST-00714,4,Condition deterioration,1.51
AST-00714,5,Recent incidents,0.0
AST-00715,1,Asset criticality,8.0
AST-00715,2,Inspection decline,5.88
AST-00715,3,Recent incidents,5.0
AST-00715,4,Maintenance interval,1.87
AST-00715,5,Condition deterioration,1.76
AST-00716,1,Asset criticality,6.0
AST-00716,2,Condition deterioration,5.15
AST-00716,3,Maintenance interval,3.78
AST-00716,4,Inspection decline,2.49
AST-00716,5,Recent incidents,0.0
AST-00719,1,Asset criticality,8.0
AST-00719,2,Inspection decline,3.9
AST-00719,3,Maintenance interval,3.72
AST-00719,4,Condition deterioration,0.0
AST-00719,5,Recent incidents,0.0
AST-00626,1,Asset criticality,8.0
AST-00626,2,Maintenance interval,4.01
AST-00626,3,Condition deterioration,0.0
AST-00626,4,Inspection decline,0.0
AST-00626,5,Recent incidents,0.0
AST-00502,1,Maintenance interval,8.32
AST-00502,2,Asset criticality,6.0
AST-00502,3,Inspection decline,1.22
AST-00502,4,Condition deterioration,0.0
AST-00502,5,Recent incidents,0.0
AST-00624,1,Condition deterioration,12.51
AST-00624,2,Asset criticality,6.0
AST-00624,3,Maintenance interval,4.01
AST-00624,4,Inspection decline,0.84
AST-00624,5,Recent incidents,0.0
AST-00534,1,Asset criticality,8.0
AST-00534,2,Recent incidents,5.0
AST-00534,3,Inspection decline,4.25
AST-00534,4,Maintenance interval,0.53
AST-00534,5,Condition deterioration,0.0
AST-00535,1,Maintenance interval,6.54
AST-00535,2,Asset criticality,6.0
AST-00535,3,Condition deterioration,3.27
AST-00535,4,Inspection decline,1.0
AST-00535,5,Recent incidents,0.0
AST-00536,1,Condition deterioration,11.44
AST-00536,2,Asset criticality,8.0
AST-00536,3,Maintenance interval,1.12
AST-00536,4,Inspection decline,0.82
AST-00536,5,Recent incidents,0.0
AST-00537,1,Asset criticality,8.0
AST-00537,2,Maintenance interval,1.18
AST-00537,3,Inspection decline,0.86
AST-00537,4,Condition deterioration,0.0
AST-00537,5,Recent incidents,0.0
AST-00538,1,Maintenance interval,9.67
AST-00538,2,Asset criticality,6.0
AST-00538,3,Inspection decline,1.56
AST-00538,4,Condition deterioration,0.0
AST-00538,5,Recent incidents,0.0
AST-00539,1,Repeat-failure signal,12.0
AST-00539,2,Recent incidents,10.0
AST-00539,3,Asset criticality,6.0
AST-00539,4,Maintenance interval,1.97
AST-00539,5,Condition deterioration,0.0
AST-00540,1,Asset criticality,10.0
AST-00540,2,Maintenance interval,2.83
AST-00540,3,Condition deterioration,0.0
AST-00540,4,Inspection decline,0.0
AST-00540,5,Recent incidents,0.0
AST-00541,1,Maintenance interval,7.27
AST-00541,2,Asset criticality,6.0
AST-00541,3,Inspection decline,2.36
AST-00541,4,Condition deterioration,0.0
AST-00541,5,Recent incidents,0.0
AST-00542,1,Condition deterioration,11.06
AST-00542,2,Asset criticality,6.0
AST-00542,3,Inspection decline,4.18
AST-00542,4,Maintenance interval,1.12
AST-00542,5,Recent incidents,0.0
AST-00543,1,Asset criticality,8.0
AST-00543,2,Maintenance interval,5.49
AST-00543,3,Condition deterioration,3.77
AST-00543,4,Inspection decline,1.52
AST-00543,5,Recent incidents,0.0
AST-00544,1,Asset criticality,6.0
AST-00544,2,Maintenance interval,3.78
AST-00544,3,Condition deterioration,1.51
AST-00544,4,Inspection decline,0.0
AST-00544,5,Recent incidents,0.0
AST-00545,1,Condition deterioration,12.07
AST-00545,2,Asset criticality,4.0
AST-00545,3,Inspection decline,1.77
AST-00545,4,Maintenance interval,1.18
AST-00545,5,Recent incidents,0.0
AST-00546,1,Asset criticality,8.0
AST-00546,2,Recent incidents,5.0
AST-00546,3,Maintenance interval,2.66
AST-00546,4,Condition deterioration,0.0
AST-00546,5,Inspection decline,0.0
AST-00547,1,Condition deterioration,20.68
AST-00547,2,Inspection decline,6.55
AST-00547,3,Asset criticality,6.0
AST-00547,4,Maintenance interval,1.22
AST-00547,5,Recent incidents,0.0
AST-00548,1,Maintenance interval,11.05
AST-00548,2,Recent incidents,5.0
AST-00548,3,Asset criticality,4.0
AST-00548,4,Inspection decline,1.63
AST-00548,5,Condition deterioration,0.0
AST-00549,1,Asset criticality,8.0
AST-00549,2,Maintenance interval,4.8
AST-00549,3,Inspection decline,2.01
AST-00549,4,Condition deterioration,0.0
AST-00549,5,Recent incidents,0.0
AST-00550,1,Asset criticality,8.0
AST-00550,2,Inspection decline,1.57
AST-00550,3,Maintenance interval,1.45
AST-00550,4,Condition deterioration,0.0
AST-00550,5,Recent incidents,0.0
AST-00551,1,Recent incidents,5.0
AST-00551,2,Asset criticality,4.0
AST-00551,3,Maintenance interval,1.48
AST-00551,4,Condition deterioration,0.0
AST-00551,5,Inspection decline,0.0
AST-00552,1,Asset criticality,10.0
AST-00552,2,Maintenance interval,5.69
AST-00552,3,Condition deterioration,0.0
AST-00552,4,Inspection decline,0.0
AST-00552,5,Recent incidents,0.0
AST-00553,1,Asset criticality,8.0
AST-00553,2,Maintenance interval,6.54
AST-00553,3,Inspection decline,5.69
AST-00553,4,Condition deterioration,0.0
